Employer's Name,Review Date,Pros,Cons,Advice to Sr. Management,Headline
S&P Global Market Intelligence,12/30/2015,"nice salary + automatic update at the end of the year + bonuses + dental coverage
good life/work balance","slow pace of changes, very rigid structure", ,Mostly posistive
S&P Global Market Intelligence,12/30/2015,"- Love to work here
- Friendly Environment
- Full Agile Scrum Follow
- Co-operative teams
- Work and Life balance
- Entertainment Activities and Co-curricular activities for employees
- Good Benefits",#NAME?, ,Software Developer
S&P Global Market Intelligence,12/26/2015,Great people and good pay,"Company has been through several ""reorgs"" over the last few years which haven't resulted in anything tangible but everyone is constantly fearing they will be bumped off.  Recently acquired SNL Financial and the integration seems to consist of installing all the legacy SNL mgmt into senior positions.  Seems as if the new CEO is a committed manager but it's hard to see him pulling it off considering the legacy company he's was running wasn't even 1/10th of the size of the Cap IQ business.  Company is fantastic at coming up with new ideas every month but in reality nothing ever gets executed.",Sort out the org structure.  Keep it simple.  Get rid of at least 50% of the MD class.  Execute on projects and see them through.  STOP MAKING POINTLESS POWERPOINTS FOR EVERYTHING.  Nobody cares about your MBA.  Promote technically enabled people.,Slowly crumbling...
S&P Global Market Intelligence,12/24/2015,"1)The Technology division of S&P Capital IQ is fast paced and maintains a positive atmosphere. It was like a home away from home. The company outings happen twice a year and there is a lot of fun activities associated around it. Active participation is encouraged for Annual Day and sports activities that happen in different periods of the year. 
Proper Work Life Balance can be maintained
2) The teams follow agile methodology with a release every 2 and a half months. The short term goals and long term objectives are very clearly set for every team. The team members can also volunteer to suggest a necessary enhancement or project that they think their team could work upon. Initiatives are always encouraged
3) They have flexible timings. What they really care is if you are completing your goals on time or not. 
4) There are ample opportunities on various fronts, QTP testing, UI, back end etc. 
5) We get to take ownership of what we work in which is a great thing.
6) There is special care for ladies with ladies relaxation rooms in every alternate floor.","1) Growth really depends on the team you are in. The bell curve that's in place restricts increments and promotions. It totally depends on your Compensation Manager, which can go either ways. 
2) Onsite opportunities are less. It depends on the team you are in and your experience in the company",Good going. They would know it better.,"Technology Quality Analyst at CIQ, Hyderabad"
S&P Global Market Intelligence,12/23/2015,"My coworkers are all intelligent, motivated individuals who are fun to work with. Management - at least within my division - has generally seemed fair and they maintain an open door policy.","Work/life balance has been very challenging. The company - like many others - runs with lean staffing, requiring individuals to overextend themselves. Goals - which are a big part of bonus potential - are difficult to achieve when day-to-day is overloaded. Meritocracy is fine, in theory, but the forced distribution of performance ratings frequently seems unfair, particularly in smaller divisions. In addition, too much income is at risk, based on the bonus plan.",Ditch the forced distribution of performance ratings. Trust your management to fairly rate each employee,Marketing Manager
S&P Global Market Intelligence,12/22/2015,Good Working Environment and Well maintained work life balance,No problems as such in the company., ,Nice Experience of 2.5 years of my life.
S&P Global Market Intelligence,12/18/2015,Comfortable Environment. Easy Work. Fixed Working Hours. Very competitive Salary,Not for building a career. Must switch in 2-3 years. Work can get monotonous., ,Good Place For Beginners
S&P Global Market Intelligence,12/15/2015,"Good environment, work-life balance can be maintained, flexible timings, cabs","ever changing management, no cabs for regular shifts",do not change so often.,Great Environment
S&P Global Market Intelligence,12/13/2015,Excellent work conditions. Great activities for engaging the employees and young and multi-ethnic co-workers,Just about average pay scale., ,Summer internship 2015
S&P Global Market Intelligence,12/8/2015,"Unique place to work at,","Poor management, poor project executions, too much politics involved 
horrible performance evaluation philosophy",Stop firing people for no reason !,quick review
S&P Global Market Intelligence,12/3/2015,"Research Associate role involves secondary research, good salary, company benefits",Monotonous and repetitive work profile,"Good management, but keep things transparent.",Research Associate
S&P Global Market Intelligence,12/2/2015,"Free to work, No Pressure, Good Pay in the market",Should focus on quality rather than the targets,Please lift out the variable compensation pay,Research Associate
S&P Global Market Intelligence,11/28/2015,"Good salary, work balance and people. 
Many opportunities.",Not much to learn. Routine work only so not exciting.,Employees should be allowed to work on new and latest technologies like NLP and Machine Learning.,Business Analyst
S&P Global Market Intelligence,11/28/2015,competitive salary for an entry level position; fast career advancement if you know where to look; great name on your CV,not always performance based i.e. need to impress the right people; company going through a lot of change and many senior people have left,talent retention and fair appraisals,OK Overall
S&P Global Market Intelligence,11/25/2015,Great place to work. Management takes very good care of its employees.,Work gets monotonous after a while. Not much scope for growth, ,Awesome place to work
S&P Global Market Intelligence,11/25/2015,Great working environment.... great facilities... People are nice... work is nice... you get to apply your concepts studied in your PG.... flexible working hours....,Lot and Lot of guidelines to be followed relating to your work... which takes lot of time to remember.,provide transport facility for day shifts also.,Research associate
S&P Global Market Intelligence,11/24/2015,"Good Education/training programs. Flexibility, culture, great benefits, 401k matching","Too much change in management, not enough promotion/growth opportunities in-house. Incompetent managers",Promote from lower-levels!!,Former Employee- Sales NYC
S&P Global Market Intelligence,11/23/2015,Dealing with Regulatory body filings on daily basis,"Nothing to say, as we are dealing the data from all over the globe",N/A,Research Associate
S&P Global Market Intelligence,11/21/2015,"Solely depends on the team you are working in.

A good place for elderly people and Hyderabadis to work on a routine basis.","In Hyderabad office they supports only Telugu people the most. They can be renamed as TNC (Telugu national company) instead of MNC. Everyone will talk in Telugu in meetings and no one cares whether you understood or not. Even senior officials will use to discuss about you that too in front of you in Telugu.

No good development work is currently available. Most of their products are already moved to maintenance stage. They were simply using developers to support their products. That too 24x7. 

No one will care about your feedback or ask you whether you like your work or not. Even if you express yourself it won't get addressed properly. 

Lot of micromanagement which you initially won't realize. 

No proper training. They are not interested in improving employees technical skills.

Policies are not followed equally thorough out the firm. They can be altered as your manager's wish.

Only 15 days of work from home is available for a year. Even a new mom with a toddler at home is also expected to work for 8 to 9 hours from office. They will question if you leave in 6 hours and log in from your home and work for 3-4 hours. They will even question if you are going to your home for lunch.

Colleagues are capable of peeking into your monitor anytime and ask questions on what you are doing. Its time for the firm to teach etiquettes to their employees.

Onsite team will expect you to be available even on a local holiday.

No friendly working environment. 

Assessment and ratings are not transparent. Lots of politics.

There is no proper hierarchy.

Canteen and food they provide sucks.",Seriously it is time for you to work on.,Poor management of talents and resources
S&P Global Market Intelligence,11/21/2015,"- food coupons
- you can expand your knowledge
the manager was very cooperative
- shifts 
-ot allownces was there .. so you will get money for extra hours of work
-cab facility","- bad food court as they serve only south indian food which north people cant eat.
-lack of professionalism and you cant understand the english they speak .. its more like telugu",kindy change the canteen wala,a very good company to work with
S&P Global Market Intelligence,11/20/2015,career growth for students and proffssional,it may only find those students who are academically strong but practically not strong, ,analyst
S&P Global Market Intelligence,11/20/2015,Good culture along with the other benefits.,Too much limited profile. Boring work. Near to non existant promotions. Low pay hikes and many more....,Cant do that,Sr. Coverage Analyst
S&P Global Market Intelligence,11/19/2015,"Very good environment, least politics, work life balance, supportive colleagues. Good compensations, Cab Facility (though not in normal day shift). Prospects to excel in career, keeping in mind one has to be proactive to learning new technology trends in market, as most projects run on legacy technologies (being a product organization). Although there are teams/projects which gives you advantage to do hands on with latest technology trends from market to your work. Overall a healthy organization.","Sometimes working with remote diversified teams affects, Growth not at a very fast pace but steady.",Make proactive steps to sync gaps and make more prompt projects execution patterns.,"Good place to work, Work-Life Balance, but keep learning to stay in sync with market"
S&P Global Market Intelligence,11/19/2015,"great work/life balance, corporate perks",not a lot of upper level management or corporate structure organization,give better reviews,Sales Operations
S&P Global Market Intelligence,11/16/2015,"Its a very comfortable job that will suck u in 
The pay is decent
You will have excellent work life balance",it would be extremely difficult to get out. your work-ex wont be recognized by the industry and you will have to start all over again.,Engage with the empoyees,Do not join unless u have to
S&P Global Market Intelligence,11/16/2015,"this is a large enterprise, great benefits and overall great perks through the insurance, flex spending and HSA (healthcare savings account)",culture clash due to many acquisitions,eliminate acquiring too many companies,S&P Cap IQ
S&P Global Market Intelligence,11/16/2015,Tech savvy company and leaders in the financial services market space.,"better management by introducing work from home, better yearly hikes, etc.", ,Hyderabad
S&P Global Market Intelligence,11/16/2015,Good compensation and security for women employees,"shifts and no career growth ,no one consider your experience
suffer a lot regarding this experience",don't ply politics on employess,worst experiance
S&P Global Market Intelligence,11/13/2015,good work-life balance and compensation,Nothing thai i can think of as of now, ,Good company for Graduates
S&P Global Market Intelligence,11/13/2015,Good benefits and training.  A lot of freedom to do your own thing.,Constantly changing leadership and direction and can't seem to get much done because of it.,Stick with one direction and go with it.,S&P Capital IQ Sales Rep
S&P Global Market Intelligence,11/12/2015,"initially GOOD PAY FOR FRESHERS, one way transport, security to female employees, ethics, encouragement of team contributions, good food in the canteen, both south indian style and north indian style with one continental counter and fresh juices","poor work life balance, very less scope of growth, odd wok timings, no enhancement of overall knowledge, no idea what your work is going to contribute for!!","employee groth to be considered and employee engaement is needed, people interact very less due to high work pressure and completing the processing of many no of files as targets",analyst
S&P Global Market Intelligence,11/11/2015,Good working place specially for the new joinees,None. Good scope of development, ,Good work place
S&P Global Market Intelligence,11/10/2015,"good work life balance, good facilities, average work pressure",work experience doesn't carry much value, ,research associate
S&P Global Market Intelligence,11/9/2015,I worked for SP Capital IQ for 15 years. I learned a lot of new programs,they laid off our entire dept, ,My time @ S&P
S&P Global Market Intelligence,11/3/2015,"Great culture, young vibrant environment of self-starters and talented minds","Challenging work environment, rewarding for high performers but not for those deemed underperformers",Encourage and promote high performers faster,SNL Financial
S&P Global Market Intelligence,11/2/2015,"Work/life balance, decent pay and benefits, some interesting projects.",No clear path for advancement. Micromanagement. Near constant senior leadership changes. Management seems indecisive on direction.,"Create more opportunities for learning and advancement.
Management needs to be more transparent and honest.",Company's Upper Management and Direction Are Constantly Changing
S&P Global Market Intelligence,11/1/2015,it is the best company to associate with,it is demanding and may requires shifts,co operative and supportive,research associate
S&P Global Market Intelligence,11/1/2015,"Good compensation on performance, Good working environment, they look after good employees. Entrepreneurial environment that allows for personal initiatives to be implemented.","Small-ish office, not a large corporate culture or benefits. Fragmented management in London, Seniors are in the US, a little far for strategic conversations or if you need a more Senior ear than your manager.",Have a better idea of where your good employees could go and develop into as well as a more structured approach to on-boarding and training.,Good place to be
S&P Global Market Intelligence,11/1/2015,"Good Work/Life balance especially for females.
Better Compensation among competitors in this industry.
Different shifts to accommodate employees.
Nice environment for work.","Too many levels in between to grow.
Many people have monotonous work.", ,Good Company to Work
S&P Global Market Intelligence,11/1/2015,"Good work life balance, good pay","No room for promotion, crab mentality, manager does not support careet advancement (atleast for me). Too bad I was not treated fairly.",Appreciate your team and the people who wants to do more.,Review
S&P Global Market Intelligence,10/29/2015,"VERY GOOD COMPENSATION, HIGH QUALITY OF EMPLOYMENT, EMPLOYEE WELFARE ACTIVITIES. VERY I LIKE very much organization structure.","nothing is there for learning, i can not improve my knowledge and this experience is not consider by other companies. this are all factors i resigned",please provide employment security,EB 1
S&P Global Market Intelligence,10/29/2015,Building is good. Environment is good,No career at all. Career is slow. You experience will not be counted.,"If someone is good in an area, he should be given that area. Rather than putting him in ignorance and not providing him/her training will never built up the company.",Career
S&P Global Market Intelligence,10/28/2015,Not much technical work is done in hyderabad office.,"not at all flexible in terms of leaves, work culture not suitable for employees", ,Work and ethics
S&P Global Market Intelligence,10/28/2015,Flexible hours. Decent pay rate if you hit their algorithm. Interesting content.,"Feast or famine as far as work availability.  Frequent major problems with their proprietary software. The way the algorithm and job tasks are structured does not result in the best product for the client, which in turn does not result in job satisfaction. Absolutely nowhere to go with this position.","You would save money and produce a better product if you listened to people doing the job.  In the over 3 years I have been with the company, numerous surveys have been sent out, but nothing has changed for the better.",Proofreader
S&P Global Market Intelligence,10/28/2015,"1) Flexibility of work hours: Technology Team doesn't follow fixed timings. Also, work from home is allowed in most of the cases.
2) Very good work life balance: Company ensures you make it a family rather than a work place
3) Good managers: Development Team has very good managers helping and guiding throughout
4) Celebrating culture: All the birthdays are celebrated and good outing events are managed by the company","1) Lack of knowledge transfer systems: Knowledge is not distributed equally across team members. This increases dependency on a single employee in case of production issues.
2) Non-existing Documentation : Most of the projects don't have documentation making it really tough for the new employees to quickly start work.
3) Inefficient HR systems: The feedback system methodology keeps on changing and fails to make an impact because of non involvement of employees to the changing system. NO proper steps are taken to ensure the effective implementation of HR systems.",Steps should be taken to make systems which can make knowledge available across the company. Feedback systems should be improved to suit the culture of the company rather than following an already existing one.,Good place to work
S&P Global Market Intelligence,10/26/2015,Good work balance and learning experience.,Manager does not appreciate what you do but is more concerned about what you're doing when all your work and extra work has been completed.,I usually take lunch at my desk so I can monitor my work emails incase of an emergency. If there's nothing going on I like to read sports article which are no blocked by company regulations. This is unacceptable by my manager who does the same during his break.,research associate
S&P Global Market Intelligence,10/23/2015,"This is the perfect place for the fresher to start their career. Employees are cooperative. No restriction on entry-exit time, but you have to work at least 6-8 hours","As I am also a fresher working here for the last 6 months, I didn't get any cons that makes you uncomfortable here", ,Good place for the fresher
S&P Global Market Intelligence,10/22/2015,"Good Work Culture
Good Pay
Lot of facilities provided
Management easy to approach","Not a great deal of balance between work and life
Climbing the ladder is long 
Lot of non-effective policies to irritate you",Change your rank structure and how you promote people,"Great Environment, but slow paced climb"
S&P Global Market Intelligence,10/21/2015,#NAME?,"-There isn't that much opportunity to meet people outside of your department -It was an uneasy environment during the McGraw Hill acquisition, and there still isn't much clarity with where the company brand is going","Make the environment more open for employees to get up from their desks and collaborate throughout the day. The acquisition came across as being all about the price tag, so making more efforts to explain company strategy.",Great Summer Internship
S&P Global Market Intelligence,10/20/2015,"work life balance is good
good atmosphere","high turnover in senior management
implies lack of vision", ,manager
S&P Global Market Intelligence,10/20/2015,They have good HR over here and have good employee welfare activities. This is only one of the good reasons to stay.,Completely micro management or you can say nano management. They ask for each and every micro second as what we did and where we had spend that time. Bad salary structure.,They should understand that employees are also human beings.,Analyst at SNL
S&P Global Market Intelligence,10/19/2015,"Work culture is good, Initial pay would be better than the peers.",Exposure is very limited. Growth is restricted. Management is not effective., ,Associate Obligor
S&P Global Market Intelligence,10/19/2015,good company to start your career with.,they have weird shifts and certain weird rules.,nothing as such,good company for career begining
S&P Global Market Intelligence,10/17/2015,"Excellent work life balance, great salary and bonus, good transport facility, some very helpful managers and peers","Repetitive and monotonous work, no financial research, very difficult to find outside opportunities after 1-2 years of working here", ,Research associate
S&P Global Market Intelligence,10/17/2015,work life balance is good,less pay than compared to others, ,good
S&P Global Market Intelligence,10/17/2015,Good work enviorment and wonderful office,There are no negatuve points, ,Review for capital IQ
S&P Global Market Intelligence,10/15/2015,Great work life balance. Great HR policies. You can deliver the work in best way you know.,Permanent shift of 2-10 for QA can be a problem sometimes.,Add flexibility to HR policies as well as work timings.,QA Engineer
S&P Global Market Intelligence,10/15/2015,"Nice workplace, not much pressure of work, no overtime","slow growth, tenure more important than performance", ,Job Environment
S&P Global Market Intelligence,10/13/2015,"Great culture especially in Tech (ping pong, pool, video games). Good salary and bonus. Great tech leadership at the VP level. Free fruit once a week.",Near constant senior leadership changes but the everyday work does not change significantly. Have experienced some layoffs as of late.,Create more opportunity for internal growth from low grade levels.,Great Place to Work
S&P Global Market Intelligence,10/13/2015,Some managers are great. Great work life balance,Not too much too learn and too much easy going attitude by youngsters, ,Research Associate
S&P Global Market Intelligence,10/13/2015,nothing to write home about. Too many egos in one organisation. People are still willing to work in this organisation.,"Salary is way too small, management has no idea what they are doing. Pathetic experience.", ,Not a good experience
S&P Global Market Intelligence,10/11/2015,"Credit Solutions is an extension of Standard&Poor's Ratings within S&P Capital IQ, so you get the chance to see both of the 2 worlds. They gave me large autonomy in filling my tasks and made me feel completely at ease. The environment was really friendly and the people are from all over the countries. There are no strict deadline and they keep you busy with day-to-day tasks or they involve you in longer projects for a bigger purpose.","S&P Capital IQ and Standard&Poor's are strictly separated so you are prevented from communicating with people of Ratings. In S&P Capital IQ in London there is not a Graduate Programme yet, so even though you get a summer internship you are not meant to receive an offer of employment.", ,Position in the Credit Solutions team
S&P Global Market Intelligence,10/8/2015,It is a nice and open work environment. People get on. Because of the inefficiency of the managers people have a level of autonomy in their role outside of commercial. The work balance is good more due to the fact that it is not a high performance culture. Managers seem to be very well paid and people seem to stay with the company.,"The strategy is lost: + 3 CEOS In 2 years. The company lacks direction, focus and execution. We could be much more financially successful. The senior leadership team lacks cohesion and diversity. I am afraid this is not an inspiring place to work.", ,Lost place
S&P Global Market Intelligence,10/5/2015,Good Company to work and good payer,Monotonous work in some departments, ,Senior Research Associate II
S&P Global Market Intelligence,10/1/2015,"Innovative, complex and filled with opportunity.",Some parts of the company are stuffy., ,Review
S&P Global Market Intelligence,10/1/2015,"- Salary and Work-Life Balance
- Friendly Co-workers
- Young and casual environment","- Skewed Gender Ratio spoils the environment (more females)
- Not much to learn 
- Gets monotonous after just a few months
- New policies not too employee friendly
- Promotions can be tricky if you do not show off your work
- Daily Target orient","- Improve Gender Ratio
- Knowing the job is monotonous, management should explore new ways of making the job interesting rather than focusing on daily, monthly productivity
- Encourage employees to analyse companies, markets and write reports even if ","Great firm, however new policies not employee friendly"
S&P Global Market Intelligence,10/1/2015,"The pros are not many,for those who join from campuses it comes across as an extended campus .They pay well,but by the end of it,one feels deskilled.No L&D initiatives.No support for women employees.They have ridiculous explanations and no definite framework for their appraisal programs with a few growing leaps and bounds and the others sitting for years together even through they get recognized for their excellent work.",You grow if you pretend to work!,Please stop acting savvy when you arnt!,Defunct practices and top heavy company!
S&P Global Market Intelligence,9/30/2015,A lot of projects to get involved on,I do not have any., ,All good
S&P Global Market Intelligence,9/30/2015,"free fruit, coffee, ping-pong, flexible work time, and nice working culture","No sponsorship, no free food, management level people are too old and serious..", ,Software Engineer Intern
S&P Global Market Intelligence,9/30/2015,"Awesome benefits, good pay, good work-life balance. They treat their employees with respect and provide great opportunities to grow","Lots of top-level management turn over. It's unsettling not knowing when big, sweeping changes are going to occur",Figure out current products and integrate them into our brand before purchasing other products and making major changes.,Great work-life balance
S&P Global Market Intelligence,9/29/2015,"good work life balance, good office environment",not a very interesting job, ,Good work life balance
S&P Global Market Intelligence,9/26/2015,Best place for database engineers,nothing as of now ........................, ,Awesome place
S&P Global Market Intelligence,9/24/2015,Work life balance in the company,don't have for this moment, ,software engineer
S&P Global Market Intelligence,9/22/2015,You learn some really powerful tools.,Compensation is pretty low. Turn over is also high., ,Associate
S&P Global Market Intelligence,9/18/2015,nice intern program working with cutting edge technology,NYC with high rent pay, ,Software engineer intern
S&P Global Market Intelligence,9/18/2015,"One of the best work culture so far experienced, flexible work timings","Repetitive work, Low annual Hikes", ,Nice Company to Work With
S&P Global Market Intelligence,9/17/2015,Good comp plan/Autonomy/flexible work environment,"Leadership and management / lack of upward mobility / lack of training / lack of product development, innovation","create clear strategy goals (1 year, 5 year etc) / identify top producers and promote / invest in training and company culture",Sales
S&P Global Market Intelligence,9/16/2015,"Good ambience
Great work culture
Fun work if you want to learn","Following are the major cons i felt :
Micromanagement
CHanges in higher management", ,Good experience
S&P Global Market Intelligence,9/16/2015,Very good work culture and the company is growing at a faster pace.,Not so many cons but little bit monotonous work., ,S&P Capital IQ
S&P Global Market Intelligence,9/13/2015,"Nice Environment
Good People
Higher Management is Supportive
Worklife- Social Life balance","Lack Of Growth Opportunities
Night Shifts", ,JRA
S&P Global Market Intelligence,9/12/2015,Product is easy to sell,Doesn't pay great and has a lot of turnover, ,CDA
S&P Global Market Intelligence,9/10/2015,"Chilled out environment. There are only few teams with a lot of pressure. Rest all have extremely light work load, especially if you are a fresher.
Excellent work life balance","Monotonic work.
Work on old technologies.
Average salary.", ,Chilled out environment
S&P Global Market Intelligence,9/9/2015,A great company to work with.Very good work culture,Nothing as such for Cons, ,Great company Great Culture
S&P Global Market Intelligence,9/9/2015,Its help full us,using all level students and easy to get oppertunities, ,good
S&P Global Market Intelligence,9/9/2015,It provides a perfect balance to professional and personal life,it is a database company, ,Work Culture
S&P Global Market Intelligence,9/8/2015,Location/people - 2 that I can think of.,"Some of those that have outstayed their tenure/have been in the company for years lack any technical skill (or any skill for that matter), leaving the junior folks (payed poorly) to shoulder all the work to exhaustion/mask their inadequacies while they take the credit. Makes you wonder how they lasted.",Note the above.,Only Come as a Last Resort/Unambitious
S&P Global Market Intelligence,9/7/2015,Great brand and generous benefits,The president and her management team are clueless. Nobody in their right mind would employ any of them. Totally incompetent but living the high life with no regard for the hard working employees. They all need to go in order to save the business. Have never come across such a bunch of buffoons running a billion dollar business in my entire life.,House cleaning time for McGraw Hill. The sooner you get rid of these clowns the better.,Clueless Management
S&P Global Market Intelligence,9/3/2015,Great opportunity to learn and obtain high level skills.,A lot of politics to deal with.,Respect/appreciate your employees and they will provide great performance and effort.,Good Career Base
S&P Global Market Intelligence,9/3/2015,"Flexible, cool work culture, paid well, job stability",Using outdated technologies so no learning. Nit a good place to start the career with.,Hire less people. Instead give more work to the existing employees.,less learning. more earning
S&P Global Market Intelligence,9/2/2015,"Lot of autonomy, build own schedule once certified to book own meetings. Lot of great benefits, very client facing, learn full product/client base.","not a clear path for advancement, can take 4-5 years to become sales director. some slow times. Lots of turnover.",give account managers more exposure to sales cycle/ shadow time with sales directors. Everyone is on their own island- not a lot of teamwork even thought there are teams in place.,Account Manager
S&P Global Market Intelligence,9/1/2015,"Very good work culture.
you can go and talk to your lead and manager any time.","No new technology, as all are existing product.
No growth", ,"Good place to work, but not great If you love new technology"
S&P Global Market Intelligence,8/29/2015,"I was fortunate to have managers who respected and rewarded the value-added work I performed. 

Work/life balance is good,Overall, this is a great company to get your feet wet in the financial services industry and learn about how professionals use market data vendors like CIQ to do their job. If that interests you, then go for it.","The company lack of culture and cohesion makes it feel like any other big company. 
You will also find the HR to be pretty useless (at least in my experience). The biggest detriment to the company is that it doesn't offer any real resources for career growth. If you're in your 20s-30s you know how important that is, so don't stick around for too long!",none.,"Good place to start your career, but don't stay for long"
S&P Global Market Intelligence,8/26/2015,"Culture, friendly environment, quick learning etc","shift timings, no cabs , no meals", ,DATA ANALYST
S&P Global Market Intelligence,8/24/2015,Good working environment and work culture is amazing. Pay is awesome. Compensations are also good,THe one big problem is that the top management is poor. Rest everything is awesome, ,Technology Quality Analyst
S&P Global Market Intelligence,8/22/2015,"I started working working here in 2010 right after my graduation. The compensation package they offered surprised me a lot. It is much higher than offers I received from other companies. I actually asked for half of the salary they offered only. The bonus scheme is also extremely good. I got a salary increase annually, around 8%. That's considered as a significant amount as the base salary is very high already. Just one note that I am considered as an expat as I'm a foreigner and the job required my native language skill.

The working time here is also very flexible. You can choose to work at any shift (9 hours) as long as you filed your request in the system 1 day in advance. The company doesn't really care about attendance. You can have long breaks during working hours as long as you can unsure your output meet the deadline and quota for the month.","Not really a cons, I just don't really like the flat rate salary applied here. All employees, regardless of year's experience, get the same pay as long as they handle the same duty. I actually got big advantage from that as I was a fresh graduate.",Review the bonus scheme can stimulate employees motivation. .,Extremely good compensation package
S&P Global Market Intelligence,8/19/2015,"Great office, good people, the transition the company is going through needs to take a pause",Listen to the undercurrents and listen to your people., ,The politics in the compnay is very overwhelming
S&P Global Market Intelligence,8/18/2015,You will have S&P on your resume as a big industry name...period ..there are no other pros unless you manage to get a good manager which is extremely difficult.,Everything is based on friendships not on skill or experience.  Comprised off of smaller companies acquired along the way mangers are inexperienced.  Most managers do not allow employees access to the great company benefits or work life balance and the company turns a blind eye. HR is useless.  Basically mangers do not believe in nor support company employee initiatives.,Stop allowing inexperienced managers to manage large groups of people - let them manage projects instead.  Also stop covering up bad business decisions by laying off talent since you cannot trust your managers to identify themselves as being the employees that need to be laid off.,Disappointing
S&P Global Market Intelligence,8/12/2015,"Flexible hours
No dress code
friendly co workers",There is no Cons as i Know of., ,Financial Engineer
S&P Global Market Intelligence,8/11/2015,"Wonderful People, very diverse, and unparalleled work-life balance.",A lot of things in upper management seem wishy-washy and/or not communicated well to the interns and entry-level employees,More transparency to entry-level employees.,Not Bad
S&P Global Market Intelligence,8/10/2015,"Flexible Timings, Work Life balance, Leaves flexibility","Stagnant curve in terms of learning and career growth. Long hierarchy.
Dont consider the work ex.", ,Decent Company to Start Your career
S&P Global Market Intelligence,8/10/2015,Atmosphere and culture were generally friendly and supportive. Solid support for a balance between work and personal life. No need to put in extra time at the end of each day doing busy work while waiting for the manager to leave.,"As a result of the mortgage backed securities crisis, dozens of new lawyers were added to the company. This lead to an exaggerated level of caution, with every decision needing to be supported with a hefty paper trail. This paper trail needed to be kept in physical form, reviewed by a manager, as well as scanned into a doc management system.",Pick a strategy and stick with it. Too much changeover in upper levels due to strategy misfires.,Struggling to find a viable growth strategy
S&P Global Market Intelligence,8/9/2015,"Good work culture
Not much pressure","Less salary
Repetitive work
No onsite oppurtunities",Value the top talents.,Quality Engineer
S&P Global Market Intelligence,8/8/2015,The work culture is good and people are very helpful. the work environment is also relaxed and you have a lot of freedom.,The pay is very less compared to other companies in the same industry. The food is not great and there are no benefits whatsoever., ,Summer Intern 6 weeks
S&P Global Market Intelligence,8/6/2015,"Good Environment, Work/Life Balance, No stress",More transparency should be while reviewing performance of an employee, ,Good for Entry Level
S&P Global Market Intelligence,7/30/2015,"Work/life balance, decent pay and benefits, some interesting projects. Good place to start a career","Not very new technologies, lack of or unclear career paths, lots of changes in upper management","Stop being hypocritical - lots of buzzwords that sound like major changes, but resistant to any actual progress","Good place to start, not necessarily to stay"
S&P Global Market Intelligence,7/29/2015,"Good work- life balance, good compensation at Graduate Level.",Less growth opportunity and work is too monotonous.,Allow people with potential to grow and give them responsibility.,Research Associate
S&P Global Market Intelligence,7/25/2015,"The working hours are amazing, and if you're new to the industry this job is a great position to structure a strong backbone in finance. Training program is intense, but it's very helpful. Friendly colleagues, and the director/managers are always supportive when you're having problems.","No matter which company you work in, there will be people spreading twisted rumors and creating bonds with those believers. Just stick with what you need to do everyday, polish your knowledge, and focus on what you want to be in the future.", ,Amazing Working Place
S&P Global Market Intelligence,7/23/2015,"Arrive at 10 leave at 4-30
Great sales staff especially in ApAC  and non NYC USA","New management and CEO doesn't have a clue 
Aged platform which will never be Bloomberg 
No growth strategy all about cost cutting 
Too much politics 
No creativity and innovation 
Doesn't care about clients - general managers don't understand client work flows",Please resign and get some new management that understands capital markets,"Senior management - new, legacy and CEO - don't have a clue"
S&P Global Market Intelligence,7/21/2015,"S&P capital iq is best for fresher and good platform also. Work and environment and  management ,colleagues every one is supportable.",everything is good it here.,Maintain communication in English.,Good to work for freshers
S&P Global Market Intelligence,7/19/2015,"Good thing is that it's a huge name in financial market, is known for it's quality data.","Hr dept takes forever to decide, they are the biggest example of deaf and dumb team. Don't want to take the name, but she is very rude, don't know why and how is she hired.",Pay attention to your employees. They are the one who will take you to heights not your fake name.,HR department is stupid
S&P Global Market Intelligence,7/19/2015,"Diversity is championed, creativity is desired, and he brand and leading products are premier in their markets.","Politics, corporate cultural change, the need for great innovation and transparency.",Improve upon the pros listed and eliminate where possible the cons mentioned.,Educational and rewarding yet excessive politics and cultural change make for a challenging work environment.
S&P Global Market Intelligence,7/19/2015,"No Micro-management, higher authorities easy to approach and very helpful people are there",Too many status update meetings, ,Satisfied and Happy
S&P Global Market Intelligence,7/18/2015,"Good salary, culture and work life balance",Lack of opportunities and growth prospects.,They should provide employees better opportunities,Research Associate
S&P Global Market Intelligence,7/17/2015,The people are great. When you work with the right team your time with the company will be one of your best experiences.,No real product updates or releases for some time. Waiting for direction is starting to have a negative impact on morale.,Get your act together...the people that are still with you are loyal and believe in the company.,It has it's ups and downs
S&P Global Market Intelligence,7/16/2015,"Decent pay
Immediate 401K vesting
Commission structure isn't on a net basis...meaning you can sell $100K, have $200K in cancels, and get paid your full commission....like I said, a sinking ship","- No culture
- Legacy mindset
- Product has not evolved (clients seem okay with that but it has a very early 2000s feel)
- Management is a joke","Consolidate your management.  Wouldn't allow remote employees either.  Also, order management and processes are super outdated.  Salesforce poorly implemented and contracts are manually edited in MS Word....yikes.",Sinking Ship Without A Captain
S&P Global Market Intelligence,7/16/2015,"Decent Pay packages
Decent working environment
good work life balance","No job contentment
No Growth
No Learning after initial 6 -9 months
Research profiles do not add much value to your profile so you kind of get stuck", ,There are better places to work
