,Pros,answer_re,answer_re_oth,answer_re_n
1235,"Professional, smart and kind coworkers! Good rapport within teams and dedicated to our jobs! Interesting work.","Professional, smart and kind coworkers! Good rapport within teams and dedicated to our jobs! Interesting work.",professional smart and kind coworkers good rapport within teams and dedicated to our jobs interesting work ,smart
1236,"Employment benefits good,compare to domestic organisations.But not matched with peers. Highest salary for freshers in industry.","Employment benefits good,compare to domestic organisations.But not matched with peers. Highest salary for freshers in industry.",employment benefits good compare to domestic organisations but not matched with peers highest salary for freshers in industry ,"salary, benefits"
1237,"work life balance, no pros to share","work life balance, no pros to share",work life balance no pros to share,work
1238,A lot of flexibility on time and relaxed atmosphere,A lot of flexibility on time and relaxed atmosphere,a lot of flexibility on time and relaxed atmosphere,
1239,Good people. Lots of opportunity to develop and grow.,Good people. Lots of opportunity to develop and grow.,good people lots of opportunity to develop and grow ,
1240,Good Work timings. Open Culture No Late sittings,Good Work timings. Open Culture No Late sittings,good work timings open culture no late sittings,
1241,Good working environment Lively workforce in the company,Good working environment Lively workforce in the company,good working environment lively workforce in the company,"environment, company, working"
1242,"Good culture, life balance is well maintained. People are really friendly. Great opportunity for learning. Anyone with learning zeal will have lot to learn.","Good culture, life balance is well maintained. People are really friendly. Great opportunity for learning. Anyone with learning zeal will have lot to learn.",good culture life balance is well maintained people are really friendly great opportunity for learning anyone with learning zeal will have lot to learn ,balance
1243,- flexible working shifts - informal work environment - ample leaves - co-operative managers,- flexible working shifts - informal work environment - ample leaves - co-operative managers, flexible working shifts informal work environment ample leaves co operative managers,"work, flexible, environment, working"
1244,"Good work Environment,Good leaves and Easy work.","Good work Environment,Good leaves and Easy work.",good work environment good leaves and easy work ,work
1245,"Good company to work for, have good middle management and training. If you are looking for a place to work you way up in it's the best shop on the street.","Good company to work for, have good middle management and training. If you are looking for a place to work you way up in it's the best shop on the street.",good company to work for have good middle management and training if you are looking for a place to work you way up in it s the best shop on the street ,"work, management, place, company"
1246,best package and friendly environment... lots of friends,best package and friendly environment... lots of friends,best package and friendly environment lots of friends,friendly
1247,"Compensation, Job Culture, Benefits, Profit & Share, 401K","Compensation, Job Culture, Benefits, Profit & Share, K",compensation job culture benefits profit share k,
1248,Low expectations of delivering and no consequences for not delivering. Very relaxed atmosphere especially after the botched SNL Financial Acquisition. Tremendous amount of town halls that keep you well informed.,Low expectations of delivering and no consequences for not delivering. Very relaxed atmosphere especially after the botched SNL Financial Acquisition. Tremendous amount of town halls that keep you well informed.,low expectations of delivering and no consequences for not delivering very relaxed atmosphere especially after the botched snl financial acquisition tremendous amount of town halls that keep you well informed ,
1249,Work atmosphere. Work-life balance. Colleagues are very understanding. No constant nagging from the team members.,Work atmosphere. Work-life balance. Colleagues are very understanding. No constant nagging from the team members.,work atmosphere work life balance colleagues are very understanding no constant nagging from the team members ,
1250,It provides a chance to work and explore much on databases. If one is really interested in working with the databases this is suggested.,It provides a chance to work and explore much on databases. If one is really interested in working with the databases this is suggested.,it provides a chance to work and explore much on databases if one is really interested in working with the databases this is suggested ,"work, working"
1251,Friendly work environment. No work pressure.,Friendly work environment. No work pressure.,friendly work environment no work pressure ,work
1252,Positive Work Environment. Good Work Ethics.,Positive Work Environment. Good Work Ethics.,positive work environment good work ethics ,
1253,The company offers extremely competitive pay structure specially at the entry level which really lures you in.. The people and the working infrastructure and facilities is also great.,The company offers extremely competitive pay structure specially at the entry level which really lures you in.. The people and the working infrastructure and facilities is also great.,the company offers extremely competitive pay structure specially at the entry level which really lures you in the people and the working infrastructure and facilities is also great ,"company, pay, people, working"
1254,"Less pressure, free fruits, pool ball, ping pang and Xbox. Good work place, free coffee. In walls street. To 20 words.","Less pressure, free fruits, pool ball, ping pang and Xbox. Good work place, free coffee. In walls street. To words.",less pressure free fruits pool ball ping pang and xbox good work place free coffee in walls street to words ,"work, free"
1255,Great and co-operating managers for my profile and it is easy to discuss any issues with them. Work is better as compared to other support profiles.,Great and co-operating managers for my profile and it is easy to discuss any issues with them. Work is better as compared to other support profiles.,great and co operating managers for my profile and it is easy to discuss any issues with them work is better as compared to other support profiles ,
1256,It's a great company to work with. People are very helping and want to help you grow as well. If you are always curious you will learn a lot about FinTech industry and the business very well.,It's a great company to work with. People are very helping and want to help you grow as well. If you are always curious you will learn a lot about FinTech industry and the business very well.,it s a great company to work with people are very helping and want to help you grow as well if you are always curious you will learn a lot about fintech industry and the business very well ,"great, work, company"
1257,for fresher a good package.......................,for fresher a good package.......................,for fresher a good package ,
1258,Best learning experience for anyone who freshly started their career,Best learning experience for anyone who freshly started their career,best learning experience for anyone who freshly started their career,
1259,- Infrastructure - Facilities - No other pros,- Infrastructure - Facilities - No other pros, infrastructure facilities no other pros,
1260,Insurance benefits . One time free cab facility . Discounted food court.,Insurance benefits . One time free cab facility . Discounted food court.,insurance benefits one time free cab facility discounted food court ,"free, food, benefits"
1261,"Great management, great team, benefits are top notch, work life balance is the best I have ever seen.","Great management, great team, benefits are top notch, work life balance is the best I have ever seen.",great management great team benefits are top notch work life balance is the best i have ever seen ,"great, work, balance, benefits"
1262,"The company has one of the best cultural ambience, best for work.","The company has one of the best cultural ambience, best for work.",the company has one of the best cultural ambience best for work ,company
1263,"Wonderful learning, great work culture","Wonderful learning, great work culture",wonderful learning great work culture,"culture, work, great"
1264,Very good environment to work and maintain personal life as well.,Very good environment to work and maintain personal life as well.,very good environment to work and maintain personal life as well ,"work, environment"
1265,"good work/life balance, most people are helpful.","good work/life balance, most people are helpful.",good work life balance most people are helpful ,people
1266,Overall a good company to work with.,Overall a good company to work with.,overall a good company to work with ,"work, company"
1267,"There are still some fantastic, bright, passionate people working across the business. The insights and market connections across the financial services industries are extensive and provide an amazing network in which to do business.","There are still some fantastic, bright, passionate people working across the business. The insights and market connections across the financial services industries are extensive and provide an amazing network in which to do business.",there are still some fantastic bright passionate people working across the business the insights and market connections across the financial services industries are extensive and provide an amazing network in which to do business ,"people, working"
1268,"Decent salary and benefits. Work was interesting at times, when I showed initiative and did something on my own.","Decent salary and benefits. Work was interesting at times, when I showed initiative and did something on my own.",decent salary and benefits work was interesting at times when i showed initiative and did something on my own ,salary
1269,Good work life balance. Opportunities to learn if you're interested.,Good work life balance. Opportunities to learn if you're interested.,good work life balance opportunities to learn if you re interested ,work
1270,"Great salary, low work pressure","Great salary, low work pressure",great salary low work pressure,"work, pressure"
1271,Good Environment.Flexible timings for some teams.,Good Environment.Flexible timings for some teams.,good environment flexible timings for some teams ,
1272,Work-life balance and respected brand,Work-life balance and respected brand,work life balance and respected brand,balance
1273,Good place to start your career and learn. Fun culture at times and good hands-on experience. Hours are not demanding at all. Most roles are overpaid.,Good place to start your career and learn. Fun culture at times and good hands-on experience. Hours are not demanding at all. Most roles are overpaid.,good place to start your career and learn fun culture at times and good hands on experience hours are not demanding at all most roles are overpaid ,"culture, place"
1274,"As a Fresher, it's a great place to work. Give a decent pay","As a Fresher, it's a great place to work. Give a decent pay",as a fresher it s a great place to work give a decent pay,"pay, place, great"
1275,good senior and executive leadership good training events and resources Agile processes which people actually follow team members who are a real team quality products benefits,good senior and executive leadership good training events and resources Agile processes which people actually follow team members who are a real team quality products benefits,good senior and executive leadership good training events and resources agile processes which people actually follow team members who are a real team quality products benefits,"senior, benefits, people"
1276,Good compensation and benefits package with a strong company name. The role provides exposure to a broad range of excellent leveraged finance intelligence and the opportunity to work with some great people.,Good compensation and benefits package with a strong company name. The role provides exposure to a broad range of excellent leveraged finance intelligence and the opportunity to work with some great people.,good compensation and benefits package with a strong company name the role provides exposure to a broad range of excellent leveraged finance intelligence and the opportunity to work with some great people ,"company, work, benefits, compensation, great"
1277,Work life balance. Most managers have no issues with you working remotely.,Work life balance. Most managers have no issues with you working remotely.,work life balance most managers have no issues with you working remotely ,working
1278,Great work Environment! Amazing team work!,Great work Environment! Amazing team work!,great work environment amazing team work ,work
1279,-Good work life balance -Good place to start if you are a graduate. Not very good for MBAs. Lot to learn for graduates in the first year.,-Good work life balance -Good place to start if you are a graduate. Not very good for MBAs. Lot to learn for graduates in the first year., good work life balance good place to start if you are a graduate not very good for mbas lot to learn for graduates in the first year ,"work, balance, place"
1280,Good First Step out of college,Good First Step out of college,good first step out of college,
1281,1. Good salary. 2. Work life balance.,. Good salary. . Work life balance., good salary work life balance ,
1282,Lots of opportunities to learn if one is willing to apply mind to it. Top management change has had positive impact on people at lower rungs.,Lots of opportunities to learn if one is willing to apply mind to it. Top management change has had positive impact on people at lower rungs.,lots of opportunities to learn if one is willing to apply mind to it top management change has had positive impact on people at lower rungs ,"management, people"
1283,"Good culture, atmosphere, management, learning env, peers. work quality, appraisals, salary, feedback process, HR policies, HR benefits","Good culture, atmosphere, management, learning env, peers. work quality, appraisals, salary, feedback process, HR policies, HR benefits",good culture atmosphere management learning env peers work quality appraisals salary feedback process hr policies hr benefits,"work, benefits"
1284,"cab facility, pick and drop, worst gym in the company, mostly","cab facility, pick and drop, worst gym in the company, mostly",cab facility pick and drop worst gym in the company mostly,
1285,"What I love about working at S&P is knowing that the company is a very stable one. S&P Global is the new company name after McGrawhill Financial bought SNL Philippines. Because of several acquisitions that happened in the past, the company became bigger and better. It operates globally and has offices in Makati and Pasig. Since the company is growing so fast, there are also a lot of opportunities here. The company supports work-life balance and offers 15 days of paid vacation leaves per year. In terms of salary, the company offers a competitive salary package, higher that what other companies in the Philippines offer. The salary increases every year. There is education reimbursement if you want to pursue Masters Degree or even Doctor's Degree. The healthcare benefits includes two dependents (can be your parents or siblings or children) and there is also life insurance for free as long as you are still an employee of the company. Salary increase is yearly. Workload is okay, not too much for you to handle. Many employees are very young and dynamic. No overtime unless something very very urgent needs to be done which rarely happens. This company is a good institution because it cares about its people. Annual parties and summer outings are sponsored by the company generously.","What I love about working at S&P is knowing that the company is a very stable one. S&P Global is the new company name after McGrawhill Financial bought SNL Philippines. Because of several acquisitions that happened in the past, the company became bigger and better. It operates globally and has offices in Makati and Pasig. Since the company is growing so fast, there are also a lot of opportunities here. The company supports work-life balance and offers days of paid vacation leaves per year. In terms of salary, the company offers a competitive salary package, higher that what other companies in the Philippines offer. The salary increases every year. There is education reimbursement if you want to pursue Masters Degree or even Doctor's Degree. The healthcare benefits includes two dependents (can be your parents or siblings or children) and there is also life insurance for free as long as you are still an employee of the company. Salary increase is yearly. Workload is okay, not too much for you to handle. Many employees are very young and dynamic. No overtime unless something very very urgent needs to be done which rarely happens. This company is a good institution because it cares about its people. Annual parties and summer outings are sponsored by the company generously.",what i love about working at s p is knowing that the company is a very stable one s p global is the new company name after mcgrawhill financial bought snl philippines because of several acquisitions that happened in the past the company became bigger and better it operates globally and has offices in makati and pasig since the company is growing so fast there are also a lot of opportunities here the company supports work life balance and offers days of paid vacation leaves per year in terms of salary the company offers a competitive salary package higher that what other companies in the philippines offer the salary increases every year there is education reimbursement if you want to pursue masters degree or even doctor s degree the healthcare benefits includes two dependents can be your parents or siblings or children and there is also life insurance for free as long as you are still an employee of the company salary increase is yearly workload is okay not too much for you to handle many employees are very young and dynamic no overtime unless something very very urgent needs to be done which rarely happens this company is a good institution because it cares about its people annual parties and summer outings are sponsored by the company generously ,"balance, insurance, company, salary, free, benefits, working"
1286,"Learning opportunities are high, Cafeteria, Top Level management are highly supportive.","Learning opportunities are high, Cafeteria, Top Level management are highly supportive.",learning opportunities are high cafeteria top level management are highly supportive ,management
1287,good benefits as per the industry good salary,good benefits as per the industry good salary,good benefits as per the industry good salary,"salary, benefits"
1288,Very nice company to work ....,Very nice company to work ....,very nice company to work ,"work, company"
1289,It work on all aspects of career development,It work on all aspects of career development,it work on all aspects of career development,work
1290,"I interned for a summer and it was such a rewarding experience. Not only was I consistently working on hands-on projects, but there is a ""Summer intern program"" led by all of the top companies with internships in the Charlottesville area, and your company pays for you all to go on fun trips and networking events, etc. On top of that, as an employee at S&P, you get to meet one-on-one with the CEO and talk to him/ask questions/etc. Very low power distance. Great company culture.","I interned for a summer and it was such a rewarding experience. Not only was I consistently working on hands-on projects, but there is a ""Summer intern program"" led by all of the top companies with internships in the Charlottesville area, and your company pays for you all to go on fun trips and networking events, etc. On top of that, as an employee at S&P, you get to meet one-on-one with the CEO and talk to him/ask questions/etc. Very low power distance. Great company culture.",i interned for a summer and it was such a rewarding experience not only was i consistently working on hands on projects but there is a summer intern program led by all of the top companies with internships in the charlottesville area and your company pays for you all to go on fun trips and networking events etc on top of that as an employee at s p you get to meet one on one with the ceo and talk to him ask questions etc very low power distance great company culture ,"company, working"
1291,Had a good experience with supportive and encouraging staff. You get to learn in varied sectors and can gain exposure.,Had a good experience with supportive and encouraging staff. You get to learn in varied sectors and can gain exposure.,had a good experience with supportive and encouraging staff you get to learn in varied sectors and can gain exposure ,
1292,Lot of learning opportunity Good Work Culture Pieceful professional life Goal oriented evaluation Flexible working hours,Lot of learning opportunity Good Work Culture Pieceful professional life Goal oriented evaluation Flexible working hours,lot of learning opportunity good work culture pieceful professional life goal oriented evaluation flexible working hours,"hours, working"
1293,Don't have much-pressurised work environment,Don't have much-pressurised work environment,don t have much pressurised work environment,"work, environment"
1294,Fixed Working Hours Decent Salary Big brand name,Fixed Working Hours Decent Salary Big brand name,fixed working hours decent salary big brand name,
1295,"Colleagues are friendly, intelligent and supportive. I have full autonomy over my days and schedule. Excellent work-life balance. Relaxed culture","Colleagues are friendly, intelligent and supportive. I have full autonomy over my days and schedule. Excellent work-life balance. Relaxed culture",colleagues are friendly intelligent and supportive i have full autonomy over my days and schedule excellent work life balance relaxed culture,culture
1296,Good Work / Life Balance,Good Work / Life Balance,good work life balance,
1297,Here work environment is good but not to work for more than 2.5 years.,Here work environment is good but not to work for more than . years.,here work environment is good but not to work for more than years ,"work, environment"
1298,Very good place to work,Very good place to work,very good place to work,"work, place"
1299,"Gave me work that challenged me, and helped me learn new technologies. Good environment if you don't mind a office cubicles.","Gave me work that challenged me, and helped me learn new technologies. Good environment if you don't mind a office cubicles.",gave me work that challenged me and helped me learn new technologies good environment if you don t mind a office cubicles ,"work, environment"
1300,Friendly nature and Compensation is fine,Friendly nature and Compensation is fine,friendly nature and compensation is fine,
1301,"Benefits were good, training and employee development were helpful, but the best part was the work/life balance. I worked 40 hours and nothing more and never had to take my work home. This wasn't the case in all divisions, however.","Benefits were good, training and employee development were helpful, but the best part was the work/life balance. I worked hours and nothing more and never had to take my work home. This wasn't the case in all divisions, however.",benefits were good training and employee development were helpful but the best part was the work life balance i worked hours and nothing more and never had to take my work home this wasn t the case in all divisions however ,"work, hours"
1302,Decent Working Culture Excellent HR Support,Decent Working Culture Excellent HR Support,decent working culture excellent hr support,
1303,- Products are respected by customers - Good tech in many areas - Leadership is getting better and better - Releases are getting better and better - Quality is getting better and better - Great place to learn - Friendly people,- Products are respected by customers - Good tech in many areas - Leadership is getting better and better - Releases are getting better and better - Quality is getting better and better - Great place to learn - Friendly people, products are respected by customers good tech in many areas leadership is getting better and better releases are getting better and better quality is getting better and better great place to learn friendly people,"place, people"
1304,Great company! Had a good experience working here!,Great company! Had a good experience working here!,great company had a good experience working here ,working
1305,"Peaceful job, Low Pressure, Professional Treatment","Peaceful job, Low Pressure, Professional Treatment",peaceful job low pressure professional treatment,
1306,-Everybody is very friendly. -Great employee benefits. -Excellent work-life balance. -Managers always make themselves available. -Relaxed environment.,-Everybody is very friendly. -Great employee benefits. -Excellent work-life balance. -Managers always make themselves available. -Relaxed environment., everybody is very friendly great employee benefits excellent work life balance managers always make themselves available relaxed environment ,
1307,Opportunity to lead team in various project and Involvement in critical Projects and client queries.,Opportunity to lead team in various project and Involvement in critical Projects and client queries.,opportunity to lead team in various project and involvement in critical projects and client queries ,
1308,very friendly environment colleagues are very nice and helping,very friendly environment colleagues are very nice and helping,very friendly environment colleagues are very nice and helping,"environment, friendly"
1309,"Transparent Policies, excellent work culture","Transparent Policies, excellent work culture",transparent policies excellent work culture,"culture, work"
1310,-Good compensation -Good work environment -Good work life balance -Great place to learn,-Good compensation -Good work environment -Good work life balance -Great place to learn, good compensation good work environment good work life balance great place to learn,"balance, place, work, compensation, environment"
1311,"SALARY, Flexible Shifts, Best salary in industry, best for freshers,freshers","SALARY, Flexible Shifts, Best salary in industry, best for freshers,freshers",salary flexible shifts best salary in industry best for freshers freshers,salary
1312,-Good compensation -Good work environment -Good work life balance -Great place to learn,-Good compensation -Good work environment -Good work life balance -Great place to learn, good compensation good work environment good work life balance great place to learn,"balance, place, work, compensation, environment"
1313,Can learn many technologies in the company.,Can learn many technologies in the company.,can learn many technologies in the company ,
1314,"Extremely good - probably can't find elsewhere for this line of work - ability to manage work and lifestyle. All that matters is you get the job done and do a great job, office face time is not a concern.","Extremely good - probably can't find elsewhere for this line of work - ability to manage work and lifestyle. All that matters is you get the job done and do a great job, office face time is not a concern.",extremely good probably can t find elsewhere for this line of work ability to manage work and lifestyle all that matters is you get the job done and do a great job office face time is not a concern ,"work, great"
1315,"Growth oriented & team work,appraisal every quater and yearly appraisal upto 20% of yours salary or performance,allowances,recognized companies and flexibility","Growth oriented & team work,appraisal every quater and yearly appraisal upto % of yours salary or performance,allowances,recognized companies and flexibility",growth oriented team work appraisal every quater and yearly appraisal upto of yours salary or performance allowances recognized companies and flexibility,salary
1316,Management is cool and very helpful.,Management is cool and very helpful.,management is cool and very helpful ,
1317,Good work life balance.,Good work life balance.,good work life balance ,work
1318,Good Pay and compensation. Young organisation,Good Pay and compensation. Young organisation,good pay and compensation young organisation,
1319,"You will get all the perks of an MNC culture, including unlimited coffee. They have a very responsive HR system managed by people willing to hear out the employees.","You will get all the perks of an MNC culture, including unlimited coffee. They have a very responsive HR system managed by people willing to hear out the employees.",you will get all the perks of an mnc culture including unlimited coffee they have a very responsive hr system managed by people willing to hear out the employees ,people
1320,Professional Employees. Good career shift opportunities,Professional Employees. Good career shift opportunities,professional employees good career shift opportunities,
1321,Good work life balance. Most colleagues are friendly and the atmosphere is generally relaxed. Working from home is possible if your manager permits.,Good work life balance. Most colleagues are friendly and the atmosphere is generally relaxed. Working from home is possible if your manager permits.,good work life balance most colleagues are friendly and the atmosphere is generally relaxed working from home is possible if your manager permits ,"work, friendly, home"
1322,"Good company, opportunities to move across teams. Provides allowance for night shifts and overtime.","Good company, opportunities to move across teams. Provides allowance for night shifts and overtime.",good company opportunities to move across teams provides allowance for night shifts and overtime ,
1323,"No work pressure, work life balance.","No work pressure, work life balance.",no work pressure work life balance ,work
1324,Good middle-management. They genuinely care about the employees and their development. Very supportive. Fun environment. Very nice colleagues and teamwork. Performance driven-culture with clear goals and KPIs. Career paths are well defined.,Good middle-management. They genuinely care about the employees and their development. Very supportive. Fun environment. Very nice colleagues and teamwork. Performance driven-culture with clear goals and KPIs. Career paths are well defined.,good middle management they genuinely care about the employees and their development very supportive fun environment very nice colleagues and teamwork performance driven culture with clear goals and kpis career paths are well defined ,
1325,Plenty of Work Life Balance,Plenty of Work Life Balance,plenty of work life balance,
1326,Cultural and friendly work environment along with the time flexibility. Career oriented goal and growth,Cultural and friendly work environment along with the time flexibility. Career oriented goal and growth,cultural and friendly work environment along with the time flexibility career oriented goal and growth,"environment, work, friendly"
1327,"Great training, benefits, salary and people","Great training, benefits, salary and people",great training benefits salary and people,"salary, people"
1328,"Good Payscale, Work Life Balance is Good","Good Payscale, Work Life Balance is Good",good payscale work life balance is good,
1329,-Work life balance is excellent -Bonus is always an add on to your yearly compensation -They provide conveyance to all the QAs,-Work life balance is excellent -Bonus is always an add on to your yearly compensation -They provide conveyance to all the QAs, work life balance is excellent bonus is always an add on to your yearly compensation they provide conveyance to all the qas,"compensation, balance"
1330,"Work life balance. Able to work at home once a week. Of course, the company benefits when employs need to work late nights and weekends.","Work life balance. Able to work at home once a week. Of course, the company benefits when employs need to work late nights and weekends.",work life balance able to work at home once a week of course the company benefits when employs need to work late nights and weekends ,"home, company, work, benefits"
1331,"Good salary, work life balance","Good salary, work life balance",good salary work life balance,"work, balance"
1332,"Good exposure at initial level, learning completely dependent upon you I mean you can learn as much as possible or as little as possible.","Good exposure at initial level, learning completely dependent upon you I mean you can learn as much as possible or as little as possible.",good exposure at initial level learning completely dependent upon you i mean you can learn as much as possible or as little as possible ,
1333,"-> They pay really well, more than the market standards and work pressure is really low which is the main driving factor for people to stay. -> Good work life balance. Option for work from home available though limited.","-> They pay really well, more than the market standards and work pressure is really low which is the main driving factor for people to stay. -> Good work life balance. Option for work from home available though limited.", they pay really well more than the market standards and work pressure is really low which is the main driving factor for people to stay good work life balance option for work from home available though limited ,"pressure, people, pay, home, work"
1334,Working with global teams Learning,Working with global teams Learning,working with global teams learning,
1335,"Will be a even more stronger company once ciq and snl integration is done, which is slated to complete in 2-3 years. There were layoffs but mostly incompetent staff were affected. Decisions are being taken quickly which is great thing compared to earlier. CTO is supportive to employees in aspects like training, good infrastructure, specifically got approvals quickly for pluralsight training, systems upgrade & lower environment stability, good change from how it used to be. Puts good effort to communicate several aspects of technology space to employees. COO is also very hard working and makes efforts to be transparent, this will help company survive and beat competition. Other pros that exist before snl aquisition - work life balance, pay & good projects remain same as before.","Will be a even more stronger company once ciq and snl integration is done, which is slated to complete in - years. There were layoffs but mostly incompetent staff were affected. Decisions are being taken quickly which is great thing compared to earlier. CTO is supportive to employees in aspects like training, good infrastructure, specifically got approvals quickly for pluralsight training, systems upgrade & lower environment stability, good change from how it used to be. Puts good effort to communicate several aspects of technology space to employees. COO is also very hard working and makes efforts to be transparent, this will help company survive and beat competition. Other pros that exist before snl aquisition - work life balance, pay & good projects remain same as before.",will be a even more stronger company once ciq and snl integration is done which is slated to complete in years there were layoffs but mostly incompetent staff were affected decisions are being taken quickly which is great thing compared to earlier cto is supportive to employees in aspects like training good infrastructure specifically got approvals quickly for pluralsight training systems upgrade lower environment stability good change from how it used to be puts good effort to communicate several aspects of technology space to employees coo is also very hard working and makes efforts to be transparent this will help company survive and beat competition other pros that exist before snl aquisition work life balance pay good projects remain same as before ,"company, pay, work, environment, great, working"
1336,Excellent work environment with supportive managers and cooperative colleagues.,Excellent work environment with supportive managers and cooperative colleagues.,excellent work environment with supportive managers and cooperative colleagues ,"work, environment"
1337,Nothing i could think of,Nothing i could think of,nothing i could think of,
1338,Great place to work and learn !,Great place to work and learn !,great place to work and learn ,"work, place"
1339,You can find some hardworking and like-minded indivuduatls,You can find some hardworking and like-minded indivuduatls,you can find some hardworking and like minded indivuduatls,
1340,flexible timigs. No work load.,flexible timigs. No work load.,flexible timigs no work load ,"work, flexible"
1341,"Good Team, Challenging work, Flexible work nature in our team","Good Team, Challenging work, Flexible work nature in our team",good team challenging work flexible work nature in our team,work
1342,"Work Life Balance, No work load.","Work Life Balance, No work load.",work life balance no work load ,work
1343,The work environment and coworkers here are fantastic. It's great to work with a group of committed individuals that care about their work and each other. There are many open lines of communication and honest feedback about performance. Everyone works hard and is willing to support everyone else in working hard and achieving their goals.,The work environment and coworkers here are fantastic. It's great to work with a group of committed individuals that care about their work and each other. There are many open lines of communication and honest feedback about performance. Everyone works hard and is willing to support everyone else in working hard and achieving their goals.,the work environment and coworkers here are fantastic it s great to work with a group of committed individuals that care about their work and each other there are many open lines of communication and honest feedback about performance everyone works hard and is willing to support everyone else in working hard and achieving their goals ,"work, environment, great, working"
1344,"culture, supportive environment and work-life balance , Good benefits","culture, supportive environment and work-life balance , Good benefits",culture supportive environment and work life balance good benefits,"environment, balance, benefits"
1345,"Employee friendly, cool environment , no pressure of work, very good for ladies","Employee friendly, cool environment , no pressure of work, very good for ladies",employee friendly cool environment no pressure of work very good for ladies,"environment, pressure"
1346,Good company to work with. Good salary and all benefits.,Good company to work with. Good salary and all benefits.,good company to work with good salary and all benefits ,"work, salary, company"
1347,"Work life balance flexible shift transportation facility night shift allowance xbox,foosball, flexible timing good package and appraisal system and bonus","Work life balance flexible shift transportation facility night shift allowance xbox,foosball, flexible timing good package and appraisal system and bonus",work life balance flexible shift transportation facility night shift allowance xbox foosball flexible timing good package and appraisal system and bonus,"flexible, balance"
1348,"work life, balance, facilities, infrastructure, events, culture, atmosphere","work life, balance, facilities, infrastructure, events, culture, atmosphere",work life balance facilities infrastructure events culture atmosphere,work
1349,"Lot to learn especially if you are in database team. SQL is used by everyone, data is the key. Recognition is very good if you are performing above expectations.","Lot to learn especially if you are in database team. SQL is used by everyone, data is the key. Recognition is very good if you are performing above expectations.",lot to learn especially if you are in database team sql is used by everyone data is the key recognition is very good if you are performing above expectations ,
1350,"Reasonably good pay. Reasonably good benefits. Mostly good work/life balance. Some very smart people there. facilities are generally good, at least in the US. The company has recovered well from the 2008 situation.","Reasonably good pay. Reasonably good benefits. Mostly good work/life balance. Some very smart people there. facilities are generally good, at least in the US. The company has recovered well from the situation.",reasonably good pay reasonably good benefits mostly good work life balance some very smart people there facilities are generally good at least in the us the company has recovered well from the situation ,"smart, company, people"
1351,"Clear direction, easy to communicate with international employees, high level executives were accessible and willing to offer advice, very organized internship program","Clear direction, easy to communicate with international employees, high level executives were accessible and willing to offer advice, very organized internship program",clear direction easy to communicate with international employees high level executives were accessible and willing to offer advice very organized internship program,
1352,Good HR policies. Good environment to work,Good HR policies. Good environment to work,good hr policies good environment to work,"work, environment"
1354,"Higher than average remuneration, Acceptable benefits and compensation","Higher than average remuneration, Acceptable benefits and compensation",higher than average remuneration acceptable benefits and compensation,"compensation, benefits"
1355,"Salary, Work culture, No reward in terms of Appraisal","Salary, Work culture, No reward in terms of Appraisal",salary work culture no reward in terms of appraisal,
1356,"Positive environment, Helpful management. It encourages financial courses like CFA,CFP and ICWA. Compay reimburse all the expenses for the same.","Positive environment, Helpful management. It encourages financial courses like CFA,CFP and ICWA. Compay reimburse all the expenses for the same.",positive environment helpful management it encourages financial courses like cfa cfp and icwa compay reimburse all the expenses for the same ,
1357,Best company to start with. Brand Name. Salary. Leaves,Best company to start with. Brand Name. Salary. Leaves,best company to start with brand name salary leaves,company
1358,"""You can perfectly maintain work life balance"" They offer a great work environment. good incentives","""You can perfectly maintain work life balance"" They offer a great work environment. good incentives", you can perfectly maintain work life balance they offer a great work environment good incentives,"work, great"
1359,"Compensation Perks, Employee policy, Extra curriculam","Compensation Perks, Employee policy, Extra curriculam",compensation perks employee policy extra curriculam,
1360,Work life balance good incentives good process,Work life balance good incentives good process,work life balance good incentives good process,balance
1361,"decent environment and management, good facilities","decent environment and management, good facilities",decent environment and management good facilities,environment
1362,Great pay... Flexible work timings... Company transport in rotational shifts and engaging environment to work in.,Great pay... Flexible work timings... Company transport in rotational shifts and engaging environment to work in.,great pay flexible work timings company transport in rotational shifts and engaging environment to work in ,"work, environment"
1363,"Good salary, working hours give time for pursuing studies, fun environment to work in, i.e., games, activities, xbox etc.","Good salary, working hours give time for pursuing studies, fun environment to work in, i.e., games, activities, xbox etc.",good salary working hours give time for pursuing studies fun environment to work in i e games activities xbox etc ,"work, environment, hours, working"
1364,"Easy working hours, good brand name, great sales compensation structure.","Easy working hours, good brand name, great sales compensation structure.",easy working hours good brand name great sales compensation structure ,"compensation, great, working"
1365,It get idea about corporate bond,It get idea about corporate bond,it get idea about corporate bond,
1366,Very Good Company To Lean And Grow,Very Good Company To Lean And Grow,very good company to lean and grow,
1367,"Understand corporate work very deeply, environment is good for work","Understand corporate work very deeply, environment is good for work",understand corporate work very deeply environment is good for work,"work, environment"
