answer_re_oth,answer_re_n
one of the aspects i found most impressive was their solid determination to welcome diversity of gender gender orientation and race a lot of good people in the office where i worked the company is largely on solid financial ground and is doing good things in the world it s nice to work for the company that owns the largest syndicated news service in the world even if it is only a small fraction of the business i m proud to say that i learned about wikileaks when we got an email from our then ceo saying now we know what happened to our reporters some of the technical internal initiatives are going well ,"company, work, people"
nice open good work life balance,"work, balance"
work life balance good benefits wfh and leaves,benefits
reasonable expectations and deadlines nice co workers good if bland working environment,"environment, working"
nice work place to learn ,"work, place"
great work life balance always something new to learn,
great people extremely collaborative teams ,
great work environment here in sewickely,"work, environment, great"
excellent work life balance great people,"great, work, people"
a good name for the resume to hold ,
good work life balance good domain supportive senior management,"senior, work, management"
great people to work with good work environment flexible hours,"hours, work, flexible, people"
good if you want to build up your career in compliance,
flexible hours good benefits huge corporation experience ,
flexible working good corporate benefits,benefits
work life balance good pay work from home good managers no job pressure nice people,"pressure, balance"
infra structure brand name salary to an extent very strong hr work environment and managers to an extent makes it a bit employee friendly works on cutting edge technology got lots to learn leaves policy is appreciable ,"work, environment, edge"
work nature is very good and can manage work life and personal life,work
no work pressure work life balance,
work life balance is good people are helpful at most levels ,balance
one of the best international news agencies in the world smart committed colleagues working on global projects,working
nice benefits work life balance good perks ,work
great team environment gives the opportunity to develop and test technology,
culture and values are taken very seriously in the company,company
overall this is a really great company to work for they take diversity seriously and support lots of different people,"great, company, work, people"
work life balance no pressure collaborative managers good products to learn,
good opportunity to work for big companies good learning opportunity nice managers and colleagues who are very supportive fun at the floor friendly work environment good facilities good career growth hard work gets recognized ,"work, friendly"
 excellent work life balance work from home is allowed entry level positions are not expected to work over hours a week flexible hours given availability during core hours am pm comp time for weekend work above average benefits ,"balance, home, work, benefits, hours"
very flexible environment treats well and excellent working culture,"culture, flexible, working"
well known mnc flexible working not heavy workload truly international working environment,"flexible, environment, working"
worked in a great team of talented sales specialists super support within the team world class products to work with trusted data trusted company the red carpet was always rolled out when visiting customers ,"work, talented, great"
easy job and ability to grow career flexible,
nice and relaxing environment good package ,
web of science leading platform in the industry with strong customer and end user loyalty working with librarians and researchers a pleasure company offered decent salary and excellent benefits co workers are intelligent and committed overall great place to interact with interesting people ,"salary, place, great"
good flexible working hours especially if you have a family,"flexible, hours, working"
good working environment and culture,"culture, environment, working"
it will provide good knowledge as well as facilities,
flexible hours great culture great company and management,"great, management, company"
work life balance great clients local sales leadership strong in my position wonderful benefits and overall nice company ,"great, benefits"
friendly people and management who want you to succeed company provides excellent benefits and other company perks ,"company, management, benefits, people"
provides for good work life balance and remote work as long as you prove to get your work done well ,"work, balance"
great opportunities salaries benefits infrastructure and lots of quality colleagues and professional attitudes on one of the world s best news agencies,
they pay decent bonuses only reason for not giving star despite having read numerous reviews on how micro managed and crappy the culture was i didn t listen i dismissed it to unsuccessful disgruntled employees i can tell you i was successful and was rewarded with an unreasonable comp plan in my nd year and capped earnings potential and even more micro management with increasing benefits cost keep looking you can find better opportunities i did ,"culture, pay, benefits"
great work life balance people are nice ,
an excellent company in terms of benefits salary and leaves no power tripping manager stress level is minimum great culture as well ,"culture, salary, company"
ônibus fretado da estação barra funda até a empresa internet de ótima qualidade boa politica de reembolso salário é pago em dia vr não é descontado na folha ,
great place to work really reward you for your hard work ,"work, place"
good work life balance decent benefits good company culture genuine people that care about you,"balance, company, people, culture, work, benefits"
very experienced and knowledgeable team,
professional organisation with good learning and best practices,
bom ambiente de trabalho pessoas muito cooperativas e bom plano de carreira além da boa remuneração através com o tempo de empresa você consegue adquirir boas experiências ,
great people to work with the solutions have great potential office hours are quite reasonable travel opportunities in the right roles ,"hours, great, work, people"
buona qualità della vita gestione del tempo lavoro di squadra,
excellent work life balance flexibility good working conditions allows time to participate in community outreach programs and volunteer work no micro managing in certain business functions,working
consistent performance each annual year,
great company to work for,"work, company"
good work culture various opportunities internally,
friendly colleagues generally low stress environment decent salary considering the lack of work required to fulfill the job requirements ,"work, salary, friendly"
good company flexible hours relaxed atmosphere,hours
 great set of products and services people who really care about what they do the reuters brand association,
good work life balance friendly culture ,
good teamwork good work environment good management team,"environment, work, management"
tr is one of the best company s to work with this is the perfect place for work and personal life balance ,"work, place"
life work balance is good really a multicultural environment,"balance, environment"
great company to work with,work
large company encompassing many facets,company
great commission structure no micromanaging very friendly laid back sales floor great culture and improving all the time if you re looking for a sales job this is a great place ,"culture, friendly, great"
good work life balance and what to expect annual leaves on your plate,"work, balance"
very good work life balance lots of facilities for women employees not muck critical and tedious work ,work
great people and flexible work environement,"work, flexible, people"
good company nice work culture good benefits friendly management learning curve,"friendly, company, culture, management, work, benefits"
ease of moving within company great work life balance depending on the role and team,
large company but relatively well run they integrate new acquisitions really well in an efficient manner the employee investment options are excellent ,"options, company"
great place to work and grow,"work, place"
its a great place to work lot of opportunity to take up in different roles and lot of events to take part in if you are enthusiastic you have lot of opportunity compensated well with the salary flexible work hours ,"work, place, great"
still carries the reuters brand providers of data that the company does not even know they have some committed and hard working employees no not middle high ranking managers still has a father of the chapel and nuj representatives a person can learn a lot if he wants to great company to work for if you have a friend who employs you ,"work, company, working"
investmentview has been depended on by financial advisors for decades,
great work atmosphere not a strict or hierarchy based organisation many options to move across groups if you have the intention and patience to reach a certain level in your career ,"options, work"
good company this is an amazing workplace to work for work life balance great support and cooperation from top management if you find an opportunity within organization you are free to apply based on your credentials and if you are successful in getting through existing manager organization will not stop you from pursuing career in other streams ,"work, free"
interesting products processes and challenges friendly environment across multiple geographies ,environment
good benefits for a company of that size lots of amenities in the eagan mn facility ,"benefits, company"
people are friendly and cooperative the company communicates with the employees about the need to stay competitive in the market place the benefits package is good compared to other big firms in new york ,"company, friendly, benefits"
a great place to work with optimum work life balance and decent compensation it once was an amazing place when it was just thomson financial merger with reuters has been a disaster in more ways than one ,"balance, place, great"
management and coworkers treated me with respect a good learning experience ,
good working environment and work life balance,"work, balance, working"
highly regarded recognized worldwide looks good on resume many interesting and talented people work there laid back atmosphere as for a company this big good benefits,"company, people, talented, work, benefits"
not much to put here no micro managing ,
opportunity to work with smart hard working co workers good team work atmosphere decent pay and good learning opportunities if you are self motivated ,"work, pay, working"
people are great to work with,"work, great"
good pay and steady business model to keep revenue coming in for news jobs well located office in nyc ,pay
competitive salary and benefits opportunity for career development ,salary
if you can handle the politics and bosses processes which say one thing but in reality mean another you ll never be out of a job guaranteed for life employment ,
great exposure to large complicated environments friendly professional colleagues frequently presents new challenges and experiences consistently improving processes upgrading to current applications and utilizing itil and data center best practices semi flexible work schedule and potential to work remotely ,"work, flexible, friendly"
best work life balance good company for long tenure wfh options present good infrastructure laptops and devices,options
tons of resources for employees great benefits ,great
get to learn many new things ,
great work life balance and work from home options various employee programs to participate in decent salary bonus on site amenities i like the visibility and access of senior leadership and activities on the intranet the hub global presence and opportunities to move jobs internally is good ,"senior, work, balance, home"
good and very helpful to study and get new skills,
deceitful human resources who support retaliation extra surveillance on employees if you are friends with managers you can hold onto a job even if you are a horrible worker,
it s a good working environment to work,"work, environment, working"
really good technologies you get to work on all the latest technologies,work
opportunities for advancement good work life balance,balance
the tax and accounting division is a great team of sales professionals and leaders to work with ,"work, great"
colleagues are great and generally to but overtime required at times down time is not utilized on a company level,company
i am able to learn a good range of skills for both print and digital ,
great place colleagues to work gives an opportunity for learning and development ,"work, place"
research associate in evalueserve working on intellectual property research patent analysis patent landscape design novelty search invalidity search freedom to operate search etc ,working
a great brand some great products the reuters principles and the works of the reuters foundation are inspiring great employee and workplace benefits and in some divisions not all some flexible practices enabling a great work life balance ,"great, work, flexible, benefits"
good working environment good location transportation facility available fun events,"environment, working"
great company for it employees ,company
they make acquiring knowledge financially easy they will cover certain studies if it s in your work scope ,work
the contributers care about the quality of work they do ,work
takes care of employees and focuses on good work life balance,
a few good people good work life balance,balance
standard working hours work from home ,"work, working"
stable process good work life balance,balance
employee friendly high rate of retention awesome place to work days work and work from home facility,"work, place, home"
established name and reputation guaranteed audience,
flexible environment to work in and great team to work with ,"work, flexible, environment, great"
matching k great environment good location ,"environment, great"
good learning experience dedicated people have several fun meetings during the year to keep employees entertained get exposure to a huge number of people ,
start to work on something new in tech part,work
global company and got to work on a variety of projects,"work, company"
awesome environment to work in and opportunity to grow within the organisation ,"work, environment"
good benefits great environment great managers and director,great
thomson reuters offered a very collaborative creative and challenging environment to work in everyone was quite helpful and easy to work with ,"work, environment"
good benefits like working from home half days on fridays in the summer good pto,"benefits, working"
flexible working patterns gained excellent communication listening and people skills confidence to work in a fast paced enviroment knowledge and insight to a fast growing glaobal company ,"flexible, people, fast, paced, work, working"
good systems and processes good environment to learn generally good benefits and nice people to work with ,"work, environment, benefits, people"
good working atmosphere intelligent co workers fair salary ,working
i was working as a contractor with thomson reuters for close years i have zero issues the manager and team were nice flexible timing over time rate as well ,working
great work life balance scope of learning new technologies and contribute individually management conducts feedback sessions and lead reviews ,work
good company to work with good experience,"work, company"
flexible working hours great work life balance less stressful work environment ,"work, great, working"
people life balance easy commute,
it s a great place to work healthy environment supportive people around and has a great work culture ,"great, work, place, people"
cool environment open door policy friendly people exposure to new technologies work balance,"balance, friendly, people, work, environment"
when reuters took over the company name started to look pretty good on a resume ,company
great managers that care about your career goals good benefits and perks for the job lot of room for advancement large campus has almost everything you need ,benefits
excellent company for women very flexible and employee friendly atmosphere ,"flexible, friendly, company"
very flexible working environment flexi hours and time off in lieu for additional hours worked up to days per year,"flexible, hours, working"
very friendly and supportive company,"friendly, company"
good work life balance good office culture decent hikes,"culture, work, balance"
good environment professional good market knowledge working here is a good place for a fresh graduate but i would not advise on staying more than years ,place
good hours with half day fridays little overtime flex benefits quiet work environment easy access from some great people here ,"hours, great, work, people"
work life balance workshops and seminars conducted quarterly,
unbeatable people support improvement of product capability and branding of it s own instead of being view as bloomberg copycat ,people
 multinational company you tend to know all people from around the planet flexible friendly,"flexible, people"
empresa multinacional que vende soluções e serviços e que possui infraestrutura de primeira linha grandes clientes e projetos que contam muito na experiência profissional ,
good camaraderie with team members decent pay benefits and good overall work life balance,balance
you get to work with wonderful co workers generous pto money is set aside for each department to spend on employees for team building such as lunches ,work
pleasant working environment plenty of opportunities to learn,working
work life balance work environment,"work, environment"
there is great training for the interns really enjoyed the people i worked with great experience with the software especially if you plan to go big ,"great, people"
good people to work with benefits vacation good pay,"work, pay, benefits, people"
work life balance facilities leaves,
good work life balance and work culture,"culture, work, balance"
good place to work work life balance,"work, balance, place"
great working environment there is a spirit if conviviality there is considerable amount of facilities which comes along with the job ,working
buen equilibrio entre la vida laboral y personal ,
great work life balance medium level pay ,work
high starting pay pretty good benefits for the twin cities,benefits
certain business units are extremely receptive to new ideas and adopting new technologies the company went through major growing pains and now seems to be dialing things down in this they are introducing culture training and doing whatever possible to get up to speed with other tech companies ,"culture, company"
strong ethics good journalists nice people,people
amazing work environment great work processes everything is well managed and executed work with the latest technologies ,"work, great"
good company to learn colleagues are friendly and you can have good environmen,"friendly, company"
work life balance work from home option,home
leading content smart people world s top organizations are customers ,smart
thomson reuters provide great flexibility and longevity,great
good place to work and to learn about various asset class good benefit and work life balance,"work, balance, place"
the younger co workers here are great but the older years and up employees seem bitter and soul less there is a great view of manhattan ,great
thomson reuters has a very friendly atmosphere due to the fact that most of the office employees are under ,friendly
in creative we have relative freedom ,
télétravail autonomie bonne ambiance formation en interne constantes bon ce,
shuttle service trainings allowances for mid shift,
 good work life balance salary compensation is better than service based industries work from option is there,"compensation, work, balance"
good environment to work nice work culture,"culture, work, environment"
not a very stressful job everyone is nice weekends off good work life balance,balance
great work life balance fantastic company internal training knowledge sharing seminars ,"work, company"
generally great people to work with good work life balance good benefits good locations to work in ,"great, work, benefits, people"
flexible hours good work life balance some good employee discounts,
good work life balance great people,"great, work, people"
good environment to work friendly people,"environment, work, friendly, people"
good company to work with,"work, company"
they help you with on the job training and they care about you and your success not only if you work with them later on but wherever you go great campus beautiful walkways easy parking intern events like going to a twins game etc ,work
this company is a great introduction to the operations of a large multinational corporation a double edged sword ,"great, company"
best products on the tax accounting area good career plans,
great to work with great environment,"work, environment, great"
global company good work life balance opportunity to live in different locations large enough to move around to different departments,work
good company to work in terms of job responsibilities and year end appraisals ,"work, company"
huge company global brand recognition having the company name looks good on your resume good work life balance ,company
good culture in company around employer enjoy the work,"culture, work, company"
thomson reuters has a beautiful campus with nice walking paths outside everyone was friendly and helpful and the work life balance was hard to beat ,"friendly, balance"
nice flexibilty great colleague very good leave policy place to learn new technologies ,"place, great"
some interesting projects a few years ago an interesting global vision but does not include the french site ,
good workmates and work life balance,"work, balance"
company is in midst of much needed transformation ceo jim smith is driving change to meet the market demands and challenges over time this should drive productivity and profitability ,
tons of opportunity for the ambitious ,
heavy weight brand with smart people very acquisitive with deep pockets so have built a strong market position well respected by clients pay well with a good overall package ,smart
great working culture friendly environment employee friendly supporting management women friendly many learning opportunities,"culture, working"
there are a lot of opportunities within thomson reuters to grow and learn as you progress in your career ,
flexible hours good benefits varied work in territory legal research skills honed,work
good people around you to work with,"work, people"
benefits are as good as any big company benefit package i got to do things at tr that i never thought i would be able to do it is a company very international in scope i could easily have seen working there for the rest of my career ,"company, working"
lots of liberty freedom to work flexible hours,"work, flexible, hours"
high standard of journalism massive exposure for your work,work
high caliber company w c cater good ethical practices well known to be a team oriented and friendly environment won many global awards including best employer in asia in the c e o awards and very competitive in all sorts of industry making it versatile and adaptable to any customers demand and need ,friendly
plenty of opportunity to diversify explore new roles and areas in the company ,
similar to other product based companies work load is mainly based on projects we work good for female employees easy work life balance ,
best company to work for long term work load is average nice infrastructure cool work culture annual leaves and projects are on latest technology ,"culture, work, company"
 a company for employees provides good facilities resources very friendly and helpful coworkers good work life balance good place to settle,"friendly, balance, place, company, work"
one of the best companies i have worked for excellent work life balance good for employees in terms of leave policies and hr ideologies ,work
salary benefits were competitive initially reputable brand i enjoyed the camaraderie of the employees cafeteria was quite tasty although slightly overpriced ,
work life balance is decent benefits are ok at best ,"balance, benefits"
good life balance and personal arrangements as homeworking etc ,
excellent it company to work very good work life balance flexible timings very processed and structured company ,work
flexibility wfh learning is good ,
great people decent life work balance,balance
range of opportunities capital availability deep knowledge market penetration,
the purpose of the company is great i had a great and satisfying career left company to pivot to a new area ,"great, company"
great products and solutions great training growth opportunities in the company and movement to anywhere in the world,company
good benefits and vacation packages ,benefits
lots to learn immediately was placed on a scrum team to start development tasks coworkers were excited and open to being pitched ideas,
flex hours good benefits good facilities,
thomson reuters is the best place to work they have a good business code of conduct ,place
its a very good company for work and life balancing and time flexibility ,"work, company"
work life balance flexibility and leaves are good,work
good work place helpful colleagues safe night shift environment,"work, environment"
friendly work environment on time salary good balance between work and social life,"work, balance"
excellent benefits package and great work life balance management listens to employees and i have really enjoyed working here ,"great, benefits, working"
consistently busy telecommuting the work flowed i had specific duties every day fair compensation and annual review large corp has systems in place to keep everything productive ,"compensation, work, place"
overall it was a nice place to work strong executive leadership good benefits and interesting work ,"place, benefits"
thomson has allowed me a flexible work schedule and the opportunity to log in remotely as needed i have been able to work with smart innovative people in a fast paced environment ,"flexible, people, fast, paced, work"
great place to start your career large corporate environment but still personal on a micro level lots of different business segments allows you to get exposure to many different lines of business you would otherwise not be,"environment, place"
competitive pay and work life balance ,"work, pay"
they are a global company so lots of openings in different regions countries so if you are lucky you might get a posting or travel to places like costa rica europe asia etc they are also present in many different verticals so you could switch from pharma to finance to science to legal,company
nice colleagues generally quite good purchase to pay process in place,place
great company to work with,"work, company"
independent working culture and good work life balance,"culture, work, balance, working"
great company great clients you have the ability to control your own destiny,"great, company"
there are always a number of projects to work on in the legal software sector and the work can be interesting as your team attempts to tackle requirements posed from the business partners you ll be surrounded by talented driven and smart coworkers and its rare to find someone who doesn t feel like they re pulling their weight there are a few oddballs here and there but you grow to enjoy everyone s company like some sort of wacky family the company work life balance is very accommodating and taking time off is rarely a big deal or needs much advance notice the environment is very relaxed and there is little finger pointing if something goes wrong everyone focuses on fixes not blame this is one of the biggest pros of the company in my opinion depending on manager working from home when needed may also be an option which helps in the snow hell areas which tr employees need to live offers decent benefits and k matching ,"balance, company, smart, home, work, benefits, environment, working"
great multinational company to work for they have a global reach and really feels like you re part of something that s really helping open transparency in financial climate ,"work, company"
great team of people who were always willing to help each other ,people
nice work environment and culture,"culture, work, environment"
great people who love their work team environment flexible hours really a nice place to work,"flexible, place, people, work, great"
good work life balance process is good u can gain lot of thing about the companies financial performance and all,balance
thomson reuters is doing partiality in on campus intern interview they have selected member in that also some body has got selected through reference this is not good i hate the interview process because they are doing some partiality ,
good environment supportive teams large client base,
great company to work for,"work, company"
work life balace good benefits,benefits
biggest pro is work life balanced compared to other companies in the same financial services global sector,work
good job title and work life balance good for those who want to perceive further studies,work
good work environment collegial atmosphere accepting of flexible work arrangements,"work, flexible"
great place to work you can meet very good people however it depends from team to team good benefits ,"place, people"
spot news coverage is really fun,
staff are very knowledgable great name to work for,"work, great"
nice place to work ,"work, place"
full benefits good on flexibility an ideal place to work for those just starting out looking to focus heavily on family and personal life,"work, place"
knowledge exposure opportunity to learn different skills and good environment ,
nice hours nice workers helpful,
professional some solid business lines,
i have been working in tr more that years nice work life balance good place for female employees ,"work, place, working"
relaxed professional amazing people impressive compensation best product offering in market top grade sales tools unlimited advancement opportunities in such a large international company,company
 day fridays all year long people tend to remain here for many years good benefits good senior leadership team friendly environment some cool projects great defined contribution pension match ,"environment, benefits"
friendly professionals descriptive process clear instruction great reputation quality of work life balance is high competitive rates,"work, balance"
enjoyed working here but the company was going through a transition when i started nice people and challenging work with little direction ,"work, company, working"
good culture and team easy going approach,culture
lots of time for yourself and good relaxed people around good worklife balance ,people
good hours cool building happy hour chill environment,"hours, environment"
good work culture balanced personal and professional life,work
great management people and experience ,
superb company and too much employee centric ,company
excellent benefits good people to work with worldwide fast paced environment and cutting technology ,"people, paced, work, cutting, environment"
large organisation with lots of resources good work life balance and very employee centric whilst expecting high standards ,"work, balance"
relax environment in which everyone is cooperative and friendly if you are willing to learn new things actively then you can ask around too i highly recommend tr to other people ,environment
if you can hit target with bonus you are well into the figures for an outside sales rep it is totally doable the benefits vacations pension matching are above standard ,
global company with good longevity company stability and stable good benefits great management team focus on the customer team and cross team collaboration exciting work with the world leader of information and software for professionals keeping up with market demand is on the ball but hours stay reasonable management makes adjustments hiring changing processes rather than overworking their staff people can stay a long time year milestones are celebrated i ve seen and years given leadership is good visible and mentors town halls and panels with upper management are given regularly peer workers are great to work with sometimes the people you work with is the bigger motivator than the work itself ,"company, people, management, work, hours, great"
great people progressive policies great business,great
fast paced environment mix of sdlc and agile projects good leadership equal opportunity for individuals with disabilities,paced
good work life balance nice opportunities,work
benefits office location life work balance young teams quite friendly really multinational if you don t want to work hard and have stable good job in stable environment tr is your choice ,"work, environment"
ela cumpre suas obrigações com o funcionário em termos trabalhistas,
simple work not much pressure ,"work, pressure"
 flexible work schedule decent benefits you can work from home when you have to,"work, benefits, home"
a lot of talent excellent brand to be proud of impressive company perks eg healthcare and gym discount etc salary ok but rarely increases,company
good management salaries and colleagues,management
holiday is generous flexible working hours and both formal informal work from home arrangements very good policies and benefits for parents the,"flexible, home, work, benefits, hours, working"
 you will get an opportunity to work with latest technologies quality oriented work from home,"work, home"
nice place to work and balance work life,"work, balance, place"
nice company culture good office space stable and super formal with the salary payments decent annual bonus acceptable annual inflation salary raise possibilities of growth in technology area if you are ready to do a bunch of extra tasks for some time without economical reward,"salary, company"
flexible timings work from home core values,work
large company that operates on good values excellent pay benefits company fosters a supportive and engaging work environment and is willing to invest in the education of employees ,"work, environment, company"
lots of time for yourself and good relaxed people around good worklife balance ,people
room for growth within organization ,
i have not yet started working for the company but according to my friends whom are working there this company makes sure that employees have a wonderful balance between life and work the salary is good shuttles that are very convenient which picks up employees from various locations magallanes wilcon depot and ayala mrt station near sm makati in front of intercontinental hotel the management is lenient regarding the approval of leaves wonderful office decor the pantry was amazing as well but i have yet to discover this and vouch for it ,"balance, company, salary, management, working"
they paid well generally let each team do what they needed to do also pretty good with making sure teams had the money to buy equipment and supplies need a server get a server need a computer get a computer ,
company is at good location infrastructure is good ,company
established company with many saas offerings to market,company
good decent pay and perks great environment to work ,"environment, pay"
great people and great benefits a good clean environment,"great, environment, people"
flexible schedule challenging opportunities get some benefits of being in a large corporation,benefits
great place to work out of school ,"work, place"
high quality of co workers these are people i would be friends with outside of the office genuine concern at the middle management levels occasionally there is interesting and innovating work lots of verbal pats on the back for exceeding expectations ,"management, people"
good life balance n work culture,"culture, work, balance"
some of the reasons to work at thomsonreuters include the decent benefits and rather relaxed working environment ,"work, benefits, working"
the management is very supportive in career building of the employees ,management
high in morality and human resources,
job security is great if you show up and do your job you get accolades for going above and beyond but see cons ,great
flexible more benefits than other mnc ,benefits
good people nice environment good furnitures lenient management,management
good management good salaries positive and lively environment,"environment, management"
work life balance no stress liberty to work on interesting work,work
excellent company the world is your oyster ,
a thomson é uma empresa que trata bem os seus funcionários tem uma extensa lista de benefícios ,
great benefits interesting work highly intelligent educated trained and professional workforce loved my colleagues,great
opportunities to a wide variety of experiences and growth with many different fields ,
healthy work environment challenge new goals,work
interesting company working from home is ok,"home, company"
great company with great benefits ,"great, company"
très bon esprit d équipe une grande liberté dans les projets des compétences qui se développent au fur et à mesure ,
flexibility with schedule and ability to work from home ,work
good work life balance good expose to fintech strong brand to leverage ,
a lot of the people you meet at work are friendly and helpful everyone is understanding and supportive ,"work, friendly, people"
good working environment with flexibility on hours,"hours, environment, working"
 young and positive environment huge office with good location,environment
good work life balance flexibility and fun activities,work
great work life balance big company so lots of opportunity to move around opportunity to work with colleagues all over the world,"great, work, balance, company"
good personal life good people,people
great co workers flexible working environment good professional culture ,working
great people to work with lots of opportunity,"work, people"
opportunities to work freely in the global setup employees centric culture,"culture, work"
buena conciliación de la vida laboral y personal en los trabajos de desarrollo,
culture worklife balance great office,"balance, great"
flexible work environment and a good work life balance ,"work, environment"
work life balance and good working environment are in the firm ,"environment, balance, working"
great company to work with good benefits,"great, work, benefits, company"
people and the work life balance,"work, balance, people"
 good work life balance opportunity to explore many areas job stability,"work, balance"
good hours great people to work with semi casual atmosphere good location and building exceptional vacation time and benefits terrific hr ,"work, people"
good people to work for and with ,"work, people"
good pay scale standard benefits large community legacy along side new technologies broad and deep skills can be developed,pay
great customer service experience and paid well,
good people some good products ,
great place t work work life balance is good excellent benefits including health insurance and gym subsidy,"great, place, insurance, health"
great company decent work life lot of benefits,work
good people professional approach account managers have customers best interest in mind,
great work life balance very less work pressure good salary eventful company ,
it is a very good reference and very respected company in the business they have great offices and the location is ideal a lot of mobility nice atmosphere and advantages ,"great, company"
it is easy to get by so the stress level is relatively low the work is not to bad the department i work in uses fairly recent tech the environment is ok they have nice holiday parties caribou coffee is nice and available most of the day ,"work, environment"
flexible about work hours cool friendly staff easy going vibe,"work, friendly"
thomson reuters is a global company with a wealth of opportunity it supports flexible outcome based working and has a supportive diversity agenda the breadth of the business if wide with much opportunity to transfer skills to the various business units ,"flexible, company, working"
good team very nice boss and very good working environment,"environment, working"
good benefits very global interesting work ,
work culture is very good and cool work from home facility also available ,"culture, work"
most of the benefits and the vacation time is nice flexible schedule pay is not too bad depending on when you were hired,benefits
 work life balance great people work from home flexibility,"home, balance, people"
work life balance paid ot few vacancies work life balance paid ot few vacancies work life balance paid ot few vacancies,balance
friendly co workers employee perks large campus ,
great product and if they have a focused mission it can really be a great place to work ,"place, great"
 ideal place for a first job you ll learn how global business works you ll familiarize yourelf with corporate policies,place
i have worked for trta for years it has been a very rewarding experience i have built lasting and trusting relationships along the way having the trust of my teammates and upper level management to freely make decisions on behalf of the company is invaluable it is a place where i have grown both personally and professionally i have the benefit of a fairly flexible work schedule and i work with a team of hard working trustworthy dedicated people i truly enjoy my job ,"flexible, place, company, management, work"
the culture in chicago is great for such a large company the chicago office does not feel sterile thy pay and benefits are great too ,"culture, company, pay, benefits"
lots of constantly updated data services state of the art or near state of the art technology great co workers and environment,environment
great work life balance very flexible schedule great pay ,"work, flexible, great"
nice work environment nice people,"work, people"
good people to work with home work balance is great holiday time off is great nice offices global opportunies great holiday parties good benefits ,"work, balance, people"
it was a great atmosphere which results in a positive experience,great
nice building interior cool water fountain near b building entrance there are some intelligent bright people interspersed among the cubicles ,
good income potential and bright intelligent people to work with the products they offer are the best in the market ,"work, people"
people are very friendly and nice ,friendly
opportunity for new projects and experiences schedule flexibility most times during the year management has a strong focus on employee growth through career goals and continued internal and external training opportunities very strong and positive corporate culture which is only getting better through current initiatives ,
great place to work no work pressure ,"work, place"
used to make money here massive drop in pay structure same work less pay,"work, pay"
no stress good corporate culture good facilities,
nice location nearer to mass commute stations,
teams are flexible and environment is great i can learn a lot in technology in this company ,"flexible, environment"
basically its a commerce based company i am interested in finance and accounts thats why i want to apply this job ,
good work life balance good benefits,benefits
very equalities driven with lots of great benefits some of the best and most intelligent folks i ve ever worked with are here,great
empresa em constante crescimento e com metodologias bem definidas ,
 pay was decent for a new grad for the most part the people are nice cafeteria in the building,people
excellent organisation great work life balance extremely good culture,
most ethical company with best industry standards in terms of salary and work life balance,"work, salary, balance, company"
this is a good place to work they pay decent salary good learning resources are available very good medical benefits ,"pay, place"
nice people most people really care about their co workers not all flexible hours great if you have kids occasionally you can get on the job training,"great, people"
great reputation and good name on your cv for a first job financial services team is highly committed and fun to work with good work environment ,work
easiest interview ever looks great on your resume ,great
great team good pay and great benefits the management really cares about you and wants you to succeed ,"management, pay, great"
solid company with good corporate philosophy ,company
