,Unnamed: 0,X1,pros_page1,pros_page_rating_value,answer_re,answer_re_oth,answer_re_n
299,300,33,- Great work life balance - Lots of interesting problems - Fast paced - Great emphasis on mentorship/ on-the-job training - Fantastic perks - Great philanthropy programs,4,- Great work life balance - Lots of interesting problems - Fast paced - Great emphasis on mentorship/ on-the-job training - Fantastic perks - Great philanthropy programs, great work life balance lots of interesting problems fast paced great emphasis on mentorship on the job training fantastic perks great philanthropy programs,"work, paced, balance"
300,301,34,truely global environment canteen really care about employee welfare,5,truely global environment canteen really care about employee welfare,truely global environment canteen really care about employee welfare,environment
301,302,34,- Great benefits - Free food and drinks in the pantry - 20 vacation days at start of year - Yearly Picnic event at Randall's island - Fun people to work with,3,- Great benefits - Free food and drinks in the pantry - vacation days at start of year - Yearly Picnic event at Randall's island - Fun people to work with, great benefits free food and drinks in the pantry vacation days at start of year yearly picnic event at randall s island fun people to work with,"benefits, work, food, people"
302,303,34,- Great culture -Lots of opportunity for growth - Meritocracy - Amazing Benefits,1,- Great culture -Lots of opportunity for growth - Meritocracy - Amazing Benefits, great culture lots of opportunity for growth meritocracy amazing benefits,culture
303,304,34,Loved everything about this job,5,Loved everything about this job,loved everything about this job,
304,305,34,"Fast-paced, responsibility, interesting co-workers, good office benefits",3,"Fast-paced, responsibility, interesting co-workers, good office benefits",fast paced responsibility interesting co workers good office benefits,benefits
305,306,34,"Amazing office, great ambiance and vibes, transparency, free food If you perform well, they will invest so much in you from knowledge to mental health wise Philanthropy Diversity Great culture Dynamic work, never dull",5,"Amazing office, great ambiance and vibes, transparency, free food If you perform well, they will invest so much in you from knowledge to mental health wise Philanthropy Diversity Great culture Dynamic work, never dull",amazing office great ambiance and vibes transparency free food if you perform well they will invest so much in you from knowledge to mental health wise philanthropy diversity great culture dynamic work never dull,"culture, free, health, food, great"
306,307,34,"Great atmosphere, wonderful people, excellent perks. Very good training program for fresh recruits to catch up to company operations standards.",5,"Great atmosphere, wonderful people, excellent perks. Very good training program for fresh recruits to catch up to company operations standards.",great atmosphere wonderful people excellent perks very good training program for fresh recruits to catch up to company operations standards ,company
307,308,34,"Great work space, centrally located",4,"Great work space, centrally located",great work space centrally located,work
308,309,34,"Good name recognition, broad exposure",3,"Good name recognition, broad exposure",good name recognition broad exposure,
309,310,34,great benefits and environment. good prospects,4,great benefits and environment. good prospects,great benefits and environment good prospects,"great, benefits"
310,311,35,There is free food and snacks consistently at your disposal. The organization is big on volunteering and philanthropic endeavors so working here will afford you the opportunity to make an impact on other people’s lives outside of the company. That’s the full extent of the benefits in my opinion.,5,There is free food and snacks consistently at your disposal. The organization is big on volunteering and philanthropic endeavors so working here will afford you the opportunity to make an impact on other people’s lives outside of the company. That’s the full extent of the benefits in my opinion.,there is free food and snacks consistently at your disposal the organization is big on volunteering and philanthropic endeavors so working here will afford you the opportunity to make an impact on other people s lives outside of the company that s the full extent of the benefits in my opinion ,"snacks, free, benefits, food, working"
311,312,35,"Great brand, people and product",3,"Great brand, people and product",great brand people and product,people
312,313,35,Excellent work environment and great team. Internal systems are well established and seamless,1,Excellent work environment and great team. Internal systems are well established and seamless,excellent work environment and great team internal systems are well established and seamless,"work, environment, great"
313,314,35,Nice office environment Great salary package.,5,Nice office environment Great salary package.,nice office environment great salary package ,"salary, environment"
314,315,35,"Smart co-workers, great offices around the world, fast paced environment, huge philanthropic presence, generally a meritocracy",3,"Smart co-workers, great offices around the world, fast paced environment, huge philanthropic presence, generally a meritocracy",smart co workers great offices around the world fast paced environment huge philanthropic presence generally a meritocracy,"paced, great, fast"
315,316,35,Good compensation and medical care benefit,5,Good compensation and medical care benefit,good compensation and medical care benefit,compensation
316,317,35,Good environment and facilities (pantry),5,Good environment and facilities (pantry),good environment and facilities pantry ,environment
317,318,35,"Competitive salary, good benefits; global company means you get lots of opportunities to move location/departments",4,"Competitive salary, good benefits; global company means you get lots of opportunities to move location/departments",competitive salary good benefits global company means you get lots of opportunities to move location departments,company
318,319,35,Good pay and benefits Nice architecture,3,Good pay and benefits Nice architecture,good pay and benefits nice architecture,"pay, benefits"
319,320,35,Work/life balance Benefits The people Phenomenal product (The Terminal) Great entry level salary,4,Work/life balance Benefits The people Phenomenal product (The Terminal) Great entry level salary,work life balance benefits the people phenomenal product the terminal great entry level salary,"salary, balance, people"
320,321,36,Work/life balance Benefits The people Phenomenal product (The Terminal) Great entry level salary,5,Work/life balance Benefits The people Phenomenal product (The Terminal) Great entry level salary,work life balance benefits the people phenomenal product the terminal great entry level salary,"salary, balance, people"
321,322,36,"Great culture, salary, colleagues and office",3,"Great culture, salary, colleagues and office",great culture salary colleagues and office,
322,323,36,Benefits are really great and work life balance,1,Benefits are really great and work life balance,benefits are really great and work life balance,"work, balance, great"
323,324,36,World class training. Fantastic brand. Free snacks and breakfast. Put in front of clients very quickly. Given remit to run initiatives. Very fast learning curve and potential progression. Very good benefits.,5,World class training. Fantastic brand. Free snacks and breakfast. Put in front of clients very quickly. Given remit to run initiatives. Very fast learning curve and potential progression. Very good benefits.,world class training fantastic brand free snacks and breakfast put in front of clients very quickly given remit to run initiatives very fast learning curve and potential progression very good benefits ,"snacks, fast"
324,325,36,"Flexible work hours, Amazing office",3,"Flexible work hours, Amazing office",flexible work hours amazing office,work
325,326,36,Incredible products High level of collaboration Travelling and benefits Office and pantry are top notch Good basic salary,5,Incredible products High level of collaboration Travelling and benefits Office and pantry are top notch Good basic salary,incredible products high level of collaboration travelling and benefits office and pantry are top notch good basic salary,"salary, benefits"
326,327,36,"- things move fast which means products are launched quickly in order to be first - people are approachable, nice and usually efficient - Processes are well developed. Many ex colleagues have commented that you tend to forget what a well oiled machine",5,"- things move fast which means products are launched quickly in order to be first - people are approachable, nice and usually efficient - Processes are well developed. Many ex colleagues have commented that you tend to forget what a well oiled machine", things move fast which means products are launched quickly in order to be first people are approachable nice and usually efficient processes are well developed many ex colleagues have commented that you tend to forget what a well oiled machine,"people, fast"
327,328,36,Flat hierarchy and good work life balance.,4,Flat hierarchy and good work life balance.,flat hierarchy and good work life balance ,work
328,329,36,"Loved the people, and the snacks! A great company to do an internship with!",3,"Loved the people, and the snacks! A great company to do an internship with!",loved the people and the snacks a great company to do an internship with ,"great, company"
329,330,36,its obvious everyone loves the food but forgets that this place s a dominant force,4,its obvious everyone loves the food but forgets that this place s a dominant force,its obvious everyone loves the food but forgets that this place s a dominant force,"place, food"
330,331,37,- Rich company culture - Flat structure - Great benefits,5,- Rich company culture - Flat structure - Great benefits, rich company culture flat structure great benefits,"culture, benefits, company"
331,332,37,This company is the best.,3,This company is the best.,this company is the best ,company
332,333,37,"Solid benefits, really nice offices",1,"Solid benefits, really nice offices",solid benefits really nice offices,
333,334,37,Growth in the sizable companies in different streams,5,Growth in the sizable companies in different streams,growth in the sizable companies in different streams,
334,335,37,The snacks are really good,3,The snacks are really good,the snacks are really good,snacks
335,336,37,Benefits are really great at this company,5,Benefits are really great at this company,benefits are really great at this company,"great, company"
336,337,37,All profits go to philanthropy,5,All profits go to philanthropy,all profits go to philanthropy,
337,338,37,work life balance is pretty good,4,work life balance is pretty good,work life balance is pretty good,"work, balance"
338,339,37,"Everyone working there was very intelligent, collaborative and willing to help when they could which says a lot when things were super busy. The pantry was always good with lots of treats and every so often you got the odd Celebrity or Politician walk in. You also have full access to a Bloomberg terminal which means full access to Financial Data and News so personal development can happen very fast if you... choose to put the effort in.",3,"Everyone working there was very intelligent, collaborative and willing to help when they could which says a lot when things were super busy. The pantry was always good with lots of treats and every so often you got the odd Celebrity or Politician walk in. You also have full access to a Bloomberg terminal which means full access to Financial Data and News so personal development can happen very fast if you... choose to put the effort in.",everyone working there was very intelligent collaborative and willing to help when they could which says a lot when things were super busy the pantry was always good with lots of treats and every so often you got the odd celebrity or politician walk in you also have full access to a bloomberg terminal which means full access to financial data and news so personal development can happen very fast if you choose to put the effort in ,"working, fast"
339,340,37,great company and great employees,4,great company and great employees,great company and great employees,"great, company"
340,341,38,"First job coming out of university, great platform to build from.",5,"First job coming out of university, great platform to build from.",first job coming out of university great platform to build from ,great
341,342,38,-Global presence -Decent salary -Abundant snacks -Good values/culture -Decent opportunity for advancement/mobility across company,3,-Global presence -Decent salary -Abundant snacks -Good values/culture -Decent opportunity for advancement/mobility across company, global presence decent salary abundant snacks good values culture decent opportunity for advancement mobility across company,"snacks, salary, company"
342,343,38,"Smart, kind, hardworking coworkers, and profits go largely towards philanthropic work",1,"Smart, kind, hardworking coworkers, and profits go largely towards philanthropic work",smart kind hardworking coworkers and profits go largely towards philanthropic work,work
343,344,38,"Lots of opportunities for trying different skills and learning, interesting work and travel",5,"Lots of opportunities for trying different skills and learning, interesting work and travel",lots of opportunities for trying different skills and learning interesting work and travel,work
344,345,38,Great company culture with good perks and opportunity for volunteering,3,Great company culture with good perks and opportunity for volunteering,great company culture with good perks and opportunity for volunteering,"culture, company"
345,346,38,"- you can tell people you work for Bloomberg - great benefits and pantry, I wish they could just pay everything out..",5,"- you can tell people you work for Bloomberg - great benefits and pantry, I wish they could just pay everything out..", you can tell people you work for bloomberg great benefits and pantry i wish they could just pay everything out ,"people, pay, work, benefits, great"
346,347,38,"nice pantry, nice building, good looking colleagues",5,"nice pantry, nice building, good looking colleagues",nice pantry nice building good looking colleagues,
347,348,38,"Hard work is rewarded, great internal perks, smart employees",4,"Hard work is rewarded, great internal perks, smart employees",hard work is rewarded great internal perks smart employees,"smart, work, great"
348,349,38,-Free breakfast and coffee in the pantry -Decent salary industry -Private healthcare,3,-Free breakfast and coffee in the pantry -Decent salary industry -Private healthcare, free breakfast and coffee in the pantry decent salary industry private healthcare,salary
349,350,38,"Great benefits, free snacks, great culture, cool and interesting atmosphere, opportunities to grow and move",4,"Great benefits, free snacks, great culture, cool and interesting atmosphere, opportunities to grow and move",great benefits free snacks great culture cool and interesting atmosphere opportunities to grow and move,"free, great"
350,351,39,"* this is a company with definite name recognition. * change is the constant - all company says it, this company lives it * rare position to learn from each other, the clients and from the market - it's SOOO in touch.",5,"* this is a company with definite name recognition. * change is the constant - all company says it, this company lives it * rare position to learn from each other, the clients and from the market - it's SOOO in touch.", this is a company with definite name recognition change is the constant all company says it this company lives it rare position to learn from each other the clients and from the market it s sooo in touch ,company
351,352,39,Lots to learn about the software and financial industries. You'll find the place is highly collaborative and people work to get stuff done. The engineering culture is great.,3,Lots to learn about the software and financial industries. You'll find the place is highly collaborative and people work to get stuff done. The engineering culture is great.,lots to learn about the software and financial industries you ll find the place is highly collaborative and people work to get stuff done the engineering culture is great ,"culture, work, place, people"
352,353,39,"free snacks, autonomy, and ability to learn a lot",1,"free snacks, autonomy, and ability to learn a lot",free snacks autonomy and ability to learn a lot,free
353,354,39,"Great Benefits, snacks, beautiful office",5,"Great Benefits, snacks, beautiful office",great benefits snacks beautiful office,
354,355,39,"Fun, smart and dynamic people. High tech company. Good social events. Great office. Free breakfast. Good salary and benefits",3,"Fun, smart and dynamic people. High tech company. Good social events. Great office. Free breakfast. Good salary and benefits",fun smart and dynamic people high tech company good social events great office free breakfast good salary and benefits,"smart, salary, benefits"
355,356,39,"Benefits, culture, technology",5,"Benefits, culture, technology",benefits culture technology,
356,357,39,CEO might be 2020 president. Good work-life balance.,5,CEO might be president. Good work-life balance.,ceo might be president good work life balance ,
357,358,39,"It is a great out of college job if you have little to no work experience. You will learn to use the terminal - mostly to help clients with login issues and you will also transfer calls to other departments. Hence, you will learn about the company bit by bit as you have to liaise with other departments regularly. If you have a decent work history - this job is too entry level for you. If you are interested in... technical operations - you should try for Installs etc -- there have been systemic changes since my departure and it is more of a hybrid-outlook. However, it is still relatively entry level. You will meet a lot of people. You will make friends if you are the type to go to work to make friends, etc. Solid 401K; healthcare benefits; vacation time; unlimited sick days (doctor's note required after a certain amount of days).",4,"It is a great out of college job if you have little to no work experience. You will learn to use the terminal - mostly to help clients with login issues and you will also transfer calls to other departments. Hence, you will learn about the company bit by bit as you have to liaise with other departments regularly. If you have a decent work history - this job is too entry level for you. If you are interested in... technical operations - you should try for Installs etc -- there have been systemic changes since my departure and it is more of a hybrid-outlook. However, it is still relatively entry level. You will meet a lot of people. You will make friends if you are the type to go to work to make friends, etc. Solid K; healthcare benefits; vacation time; unlimited sick days (doctor's note required after a certain amount of days).",it is a great out of college job if you have little to no work experience you will learn to use the terminal mostly to help clients with login issues and you will also transfer calls to other departments hence you will learn about the company bit by bit as you have to liaise with other departments regularly if you have a decent work history this job is too entry level for you if you are interested in technical operations you should try for installs etc there have been systemic changes since my departure and it is more of a hybrid outlook however it is still relatively entry level you will meet a lot of people you will make friends if you are the type to go to work to make friends etc solid k healthcare benefits vacation time unlimited sick days doctor s note required after a certain amount of days ,"great, work, company"
358,359,39,benefícios como plano de saúde são bons.,3,benefícios como plano de saúde são bons.,benefícios como plano de saúde são bons ,
359,360,39,given all the resources to do the job,4,given all the resources to do the job,given all the resources to do the job,
360,361,40,Good work life balance ethic,5,Good work life balance ethic,good work life balance ethic,"work, balance"
361,362,40,Take care of employees very well,3,Take care of employees very well,take care of employees very well,
362,363,40,"The culture is very unique. No real titles, which means you can have a lot of ownership over your role and career. Most of the company's profits go to philanthropy, which is unlike any other company. Really makes it all worthwhile. Great benefits, no monthly cost for health insurance.",1,"The culture is very unique. No real titles, which means you can have a lot of ownership over your role and career. Most of the company's profits go to philanthropy, which is unlike any other company. Really makes it all worthwhile. Great benefits, no monthly cost for health insurance.",the culture is very unique no real titles which means you can have a lot of ownership over your role and career most of the company s profits go to philanthropy which is unlike any other company really makes it all worthwhile great benefits no monthly cost for health insurance ,"culture, health"
363,364,40,"Great company, enjoyable environment, interesting work, reasonable life/work balance",5,"Great company, enjoyable environment, interesting work, reasonable life/work balance",great company enjoyable environment interesting work reasonable life work balance,balance
364,365,40,Great learning and very open minded working,3,Great learning and very open minded working,great learning and very open minded working,working
365,366,40,Management et organisation au millimètre. Très bonne condition de travail.,5,Management et organisation au millimètre. Très bonne condition de travail.,management et organisation au millimètre très bonne condition de travail ,
366,367,40,"Good working environment, interesting learning opportunities",5,"Good working environment, interesting learning opportunities",good working environment interesting learning opportunities,working
367,368,40,"Great people, challenging work, nice perks, flexible schedule",4,"Great people, challenging work, nice perks, flexible schedule",great people challenging work nice perks flexible schedule,flexible
368,369,40,"Great perks and benefits, including free food",3,"Great perks and benefits, including free food",great perks and benefits including free food,"free, food"
369,370,40,- Good training - Motivated and professional colleagues - Extraordinary working environment,4,- Good training - Motivated and professional colleagues - Extraordinary working environment, good training motivated and professional colleagues extraordinary working environment,"environment, working"
370,371,42,Good place for your first job or your last job.,5,Good place for your first job or your last job.,good place for your first job or your last job ,place
371,372,42,"Culture, people, office, innovative, open",3,"Culture, people, office, innovative, open",culture people office innovative open,
372,373,42,"Good benefits, lots of challenging/interesting work",1,"Good benefits, lots of challenging/interesting work",good benefits lots of challenging interesting work,work
373,374,42,Great company / awesome product.,5,Great company / awesome product.,great company awesome product ,company
374,375,42,"Great benefits, humane workplace, reasonable salary.",3,"Great benefits, humane workplace, reasonable salary.",great benefits humane workplace reasonable salary ,
375,376,42,Good environment Supportive colleagues Lots of snacks Opportunities to learn and have trainings,5,Good environment Supportive colleagues Lots of snacks Opportunities to learn and have trainings,good environment supportive colleagues lots of snacks opportunities to learn and have trainings,"snacks, environment"
376,377,42,Hard work pays off here,5,Hard work pays off here,hard work pays off here,work
377,378,42,Large organization with muscle; good HR practices on paper; A very good place to learn functional aspects and team dynamics.,4,Large organization with muscle; good HR practices on paper; A very good place to learn functional aspects and team dynamics.,large organization with muscle good hr practices on paper a very good place to learn functional aspects and team dynamics ,place
378,379,42,"Very flat structure offering broad opportunities. Excellent benefits, high quality offices and fantastic pantry",3,"Very flat structure offering broad opportunities. Excellent benefits, high quality offices and fantastic pantry",very flat structure offering broad opportunities excellent benefits high quality offices and fantastic pantry,
379,380,42,"Great life-work balance, career path and possibility to move from one team to the other",4,"Great life-work balance, career path and possibility to move from one team to the other",great life work balance career path and possibility to move from one team to the other,
380,381,43,"Great company. Lots of mentorship, supportive environment, benefits are fantastic, generous tuition match and genuine interest in employee self-improvement.",5,"Great company. Lots of mentorship, supportive environment, benefits are fantastic, generous tuition match and genuine interest in employee self-improvement.",great company lots of mentorship supportive environment benefits are fantastic generous tuition match and genuine interest in employee self improvement ,benefits
381,382,43,A good place to work and a friendly environment,3,A good place to work and a friendly environment,a good place to work and a friendly environment,"environment, work, friendly, place"
382,383,43,- training is world class - get put in front of clients very quickly - great people,1,- training is world class - get put in front of clients very quickly - great people, training is world class get put in front of clients very quickly great people,"great, people"
383,384,43,"Great company to work for, loads of free benefits.",5,"Great company to work for, loads of free benefits.",great company to work for loads of free benefits ,"work, free, company"
384,385,43,Great Culture..Work life balance is amazing,3,Great Culture..Work life balance is amazing,great culture work life balance is amazing,balance
385,386,43,Nice cowerkers and free lunch on site,5,Nice cowerkers and free lunch on site,nice cowerkers and free lunch on site,free
386,387,43,Stable job Company not too big - A person can make an impact at the firm level easier Treats employees very well Amazing office,5,Stable job Company not too big - A person can make an impact at the firm level easier Treats employees very well Amazing office,stable job company not too big a person can make an impact at the firm level easier treats employees very well amazing office,
387,388,43,Good place to work; free food,4,Good place to work; free food,good place to work free food,"free, place, food"
388,389,43,"*Free Healthcare if you complete the annual Health Assessment during open enrollment *Free breakfast, snacks, coffee/tea, lunch (soup) *Free Dinner after 8PM *Very generous 401K match, (15% up to 50% of annual salary, max of 7500/yr) *Nice work-life balance (dept: sales & account mgmt)",3,"*Free Healthcare if you complete the annual Health Assessment during open enrollment *Free breakfast, snacks, coffee/tea, lunch (soup) *Free Dinner after PM *Very generous K match, (% up to % of annual salary, max of /yr) *Nice work-life balance (dept: sales & account mgmt)", free healthcare if you complete the annual health assessment during open enrollment free breakfast snacks coffee tea lunch soup free dinner after pm very generous k match up to of annual salary max of yr nice work life balance dept sales account mgmt ,balance
389,390,43,"Free snacks, decent benefits. A very small number of talented and ambitious individuals in the division who are willing to work hard and create value for clients, but unfortunately they are ignored and demonized for any attempt to question the direction of the division and conduct insightful research. They deserve better.",4,"Free snacks, decent benefits. A very small number of talented and ambitious individuals in the division who are willing to work hard and create value for clients, but unfortunately they are ignored and demonized for any attempt to question the direction of the division and conduct insightful research. They deserve better.",free snacks decent benefits a very small number of talented and ambitious individuals in the division who are willing to work hard and create value for clients but unfortunately they are ignored and demonized for any attempt to question the direction of the division and conduct insightful research they deserve better ,"work, talented"
390,391,44,"Free snacks, decent benefits. A very small number of talented and ambitious individuals in the division who are willing to work hard and create value for clients, but unfortunately they are ignored and demonized for any attempt to question the direction of the division and conduct insightful research. They deserve better.",5,"Free snacks, decent benefits. A very small number of talented and ambitious individuals in the division who are willing to work hard and create value for clients, but unfortunately they are ignored and demonized for any attempt to question the direction of the division and conduct insightful research. They deserve better.",free snacks decent benefits a very small number of talented and ambitious individuals in the division who are willing to work hard and create value for clients but unfortunately they are ignored and demonized for any attempt to question the direction of the division and conduct insightful research they deserve better ,"work, talented"
391,392,44,Great environment for developing skills,3,Great environment for developing skills,great environment for developing skills,environment
392,393,44,"- Good benefits, work life balance, very caring employer to work for - Though organization chart looks very flat for entry level analyst, people with different skills can propose and work on totally different projects that make best use of their skills ",1,"- Good benefits, work life balance, very caring employer to work for - Though organization chart looks very flat for entry level analyst, people with different skills can propose and work on totally different projects that make best use of their skills ", good benefits work life balance very caring employer to work for though organization chart looks very flat for entry level analyst people with different skills can propose and work on totally different projects that make best use of their skills ,"work, people"
393,394,44,"young environment, multi cultural atmosphere. good diversity",5,"young environment, multi cultural atmosphere. good diversity",young environment multi cultural atmosphere good diversity,
394,395,44,"Diverse, challenging environment with good options for skills set development",3,"Diverse, challenging environment with good options for skills set development",diverse challenging environment with good options for skills set development,"options, environment"
395,396,44,"While others' reports of some outdated technologies and an in-house tech stack that can make transfer of knowledge of to other companies less than what it could be, there's a very clear company effort to modernize. On top of that, it seems like the company has invested in its engineers to compete with some of the other top firms (especially true for the intern program), and it shows in the level of talent that the... company attracts. Overall this is a very competent engineering department and a good place to work that's getting better every year.",5,"While others' reports of some outdated technologies and an in-house tech stack that can make transfer of knowledge of to other companies less than what it could be, there's a very clear company effort to modernize. On top of that, it seems like the company has invested in its engineers to compete with some of the other top firms (especially true for the intern program), and it shows in the level of talent that the... company attracts. Overall this is a very competent engineering department and a good place to work that's getting better every year.",while others reports of some outdated technologies and an in house tech stack that can make transfer of knowledge of to other companies less than what it could be there s a very clear company effort to modernize on top of that it seems like the company has invested in its engineers to compete with some of the other top firms especially true for the intern program and it shows in the level of talent that the company attracts overall this is a very competent engineering department and a good place to work that s getting better every year ,"work, place, company"
396,397,44,"I’ve worked at Bloomberg Intelligence long enough to know the future here is far brighter than stuck in a broken bulge-bracket boiler room (do you remember the heyday - when the buyside trusted their views, Associates loved their jobs and Analysts didn’t live layoff-to-layoff? Then you are alone...). Like most of my senior colleagues, I was a successful Analyst at a traditional research shop you‘d know. Here I have... more client access, more access to companies and experts, and more resources to build my franchise. It would take a true lack of vision to ever go back. I decided to write this after reading several narrow-minded nuggets, lobbed into this forum by some grumpy elves (so scarce at BI, most of us can guess who). I hope I can offer some balance, and not sound promotional because, frankly, working here is pretty good. I’ve taken enough interviews to know I have good options, and seen a few peers leave for seats they really wanted. To me, BI is the best place to be. I’d also like to counter some of the unfair baloney leveled at management. I’m not a manager, but their fairness and vision is a key reason that I joined and that I stay. Know any “leaders” you’d follow among those still squeezing pennies out of sellside sweatshops? Ours have the honesty to see the legacy biases, vision to shape a novel product, and guts to get started. The BI product is fun to write and powerful to read because a generalist can quickly engage it, an expert can dive deep, it is soaked in data and it is modular in a way that brings the right analyst’s voice into the right part of any report. Imagine writing a detailed research piece, but knowing your peers would link your best paragraphs right into their own work – and that you’d better recheck it often, because the graphs are live! As an Associate, the pieces we author on industry basic concepts and indicators will be yours to write sooner than anywhere else. You’ll build company models experienced buysiders use to actually make decisions (not ones designed to play the “call me, I’m far out of consensus!” game) You’ll also battle a bunch of weird new technology systems, and always wonder that the “rules” are! Why? Because, this is NOT an ancient financial house where a bunch of well-connected jerks rig rules to make sure you can’t get your full bonus or take their cushy job. This IS a (well-funded) startup, where quickly making anything new or cool clients want comes before designing a clear, simple career path for you and us. But, as always in life, uncertainty comes with benefits. As an Associate, us Analysts will actually teach you to pick up coverage. We are growing, we have a lot more to cover and we don’t have to defend ourselves against your career progress! Oh, and we’ll let you have time to have a life at the end of the day. Oh, and you’ll actually make some friends, because it isn’t “you or them” in the next round of inevitable layoffs (see history of “real research” shops). Oh, and the top-to-bottom pay disparity here is FAR narrower than any I’ve seen on the street. Oh, and you’ll get to work at Bloomberg – where people are much happier overall than most places. As an Analyst, you either already see why this is a great place – or not. In the latter case I’d probably respect you, but not want to work with you. I came here for novelty and innovation and to be with colleagues who were also uninspired by the bare-knuckles battle down the old-school path. Frankly, I’ve been paid well enough that I’m still glad I took the risk. Best of luck with MiFID 2!",5,"I’ve worked at Bloomberg Intelligence long enough to know the future here is far brighter than stuck in a broken bulge-bracket boiler room (do you remember the heyday - when the buyside trusted their views, Associates loved their jobs and Analysts didn’t live layoff-to-layoff? Then you are alone...). Like most of my senior colleagues, I was a successful Analyst at a traditional research shop you‘d know. Here I have... more client access, more access to companies and experts, and more resources to build my franchise. It would take a true lack of vision to ever go back. I decided to write this after reading several narrow-minded nuggets, lobbed into this forum by some grumpy elves (so scarce at BI, most of us can guess who). I hope I can offer some balance, and not sound promotional because, frankly, working here is pretty good. I’ve taken enough interviews to know I have good options, and seen a few peers leave for seats they really wanted. To me, BI is the best place to be. I’d also like to counter some of the unfair baloney leveled at management. I’m not a manager, but their fairness and vision is a key reason that I joined and that I stay. Know any “leaders” you’d follow among those still squeezing pennies out of sellside sweatshops? Ours have the honesty to see the legacy biases, vision to shape a novel product, and guts to get started. The BI product is fun to write and powerful to read because a generalist can quickly engage it, an expert can dive deep, it is soaked in data and it is modular in a way that brings the right analyst’s voice into the right part of any report. Imagine writing a detailed research piece, but knowing your peers would link your best paragraphs right into their own work – and that you’d better recheck it often, because the graphs are live! As an Associate, the pieces we author on industry basic concepts and indicators will be yours to write sooner than anywhere else. You’ll build company models experienced buysiders use to actually make decisions (not ones designed to play the “call me, I’m far out of consensus!” game) You’ll also battle a bunch of weird new technology systems, and always wonder that the “rules” are! Why? Because, this is NOT an ancient financial house where a bunch of well-connected jerks rig rules to make sure you can’t get your full bonus or take their cushy job. This IS a (well-funded) startup, where quickly making anything new or cool clients want comes before designing a clear, simple career path for you and us. But, as always in life, uncertainty comes with benefits. As an Associate, us Analysts will actually teach you to pick up coverage. We are growing, we have a lot more to cover and we don’t have to defend ourselves against your career progress! Oh, and we’ll let you have time to have a life at the end of the day. Oh, and you’ll actually make some friends, because it isn’t “you or them” in the next round of inevitable layoffs (see history of “real research” shops). Oh, and the top-to-bottom pay disparity here is FAR narrower than any I’ve seen on the street. Oh, and you’ll get to work at Bloomberg – where people are much happier overall than most places. As an Analyst, you either already see why this is a great place – or not. In the latter case I’d probably respect you, but not want to work with you. I came here for novelty and innovation and to be with colleagues who were also uninspired by the bare-knuckles battle down the old-school path. Frankly, I’ve been paid well enough that I’m still glad I took the risk. Best of luck with MiFID !",i ve worked at bloomberg intelligence long enough to know the future here is far brighter than stuck in a broken bulge bracket boiler room do you remember the heyday when the buyside trusted their views associates loved their jobs and analysts didn t live layoff to layoff then you are alone like most of my senior colleagues i was a successful analyst at a traditional research shop you d know here i have more client access more access to companies and experts and more resources to build my franchise it would take a true lack of vision to ever go back i decided to write this after reading several narrow minded nuggets lobbed into this forum by some grumpy elves so scarce at bi most of us can guess who i hope i can offer some balance and not sound promotional because frankly working here is pretty good i ve taken enough interviews to know i have good options and seen a few peers leave for seats they really wanted to me bi is the best place to be i d also like to counter some of the unfair baloney leveled at management i m not a manager but their fairness and vision is a key reason that i joined and that i stay know any leaders you d follow among those still squeezing pennies out of sellside sweatshops ours have the honesty to see the legacy biases vision to shape a novel product and guts to get started the bi product is fun to write and powerful to read because a generalist can quickly engage it an expert can dive deep it is soaked in data and it is modular in a way that brings the right analyst s voice into the right part of any report imagine writing a detailed research piece but knowing your peers would link your best paragraphs right into their own work and that you d better recheck it often because the graphs are live as an associate the pieces we author on industry basic concepts and indicators will be yours to write sooner than anywhere else you ll build company models experienced buysiders use to actually make decisions not ones designed to play the call me i m far out of consensus game you ll also battle a bunch of weird new technology systems and always wonder that the rules are why because this is not an ancient financial house where a bunch of well connected jerks rig rules to make sure you can t get your full bonus or take their cushy job this is a well funded startup where quickly making anything new or cool clients want comes before designing a clear simple career path for you and us but as always in life uncertainty comes with benefits as an associate us analysts will actually teach you to pick up coverage we are growing we have a lot more to cover and we don t have to defend ourselves against your career progress oh and we ll let you have time to have a life at the end of the day oh and you ll actually make some friends because it isn t you or them in the next round of inevitable layoffs see history of real research shops oh and the top to bottom pay disparity here is far narrower than any i ve seen on the street oh and you ll get to work at bloomberg where people are much happier overall than most places as an analyst you either already see why this is a great place or not in the latter case i d probably respect you but not want to work with you i came here for novelty and innovation and to be with colleagues who were also uninspired by the bare knuckles battle down the old school path frankly i ve been paid well enough that i m still glad i took the risk best of luck with mifid ,"place, people, company, pay, senior, work, great, working"
