Employer's Name,Review Link,Job Title,City/Town Name,State Name,Country Name,Interview Date,Interview Difficulty,Interview Length (no. of days),Process,Interview Outcome,Overall Experience,Why Decline,Negotiation Phase,Interview Question 1,Interview Question 2,Interview Question 3,Interview Question 4,Interview Question 5,Employer Response
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW3888077.htm,Business Analyst,Beijing,Beijing,China,3/17/2014,Average, ,"more about professional stuff, specifically, knowledge and experience about financial industry, M&A process, business analytics",Accepted Offer,Positive, , ,A case study of whether or not to acquire a company, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW242622.htm,Manager, , , ,6/24/2009,Average,30,Phone screen. Met with hiring manager. 3rd interview met with various level employees.,No Offer,Positive, , ,Give me an example of a time when you ..., , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW840060.htm,Manager, , , ,3/5/2011,Average,120,"I applied in June and went through a series of interviews with manager, publisher, president and members of other departments. The process took four months! I had one phone interview and three in-person interviews. I had to meet with two employees twice. Frankly, I think they prolonged the process so I would start in October and, therefore, not be elligible for the bonus payout the next year.",Accepted Offer,Negative, ,"Yes.  I was offered a low salary.  Probably one that was quite adequate for living in Columbus, but not where I lived.  I counter offered and they matched my counter offer.  I also received a signing bonus.", , , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW550848.htm,Director Learning & Development, , , ,6/29/2010,Difficult,14,"Phone interview was a validation of credentials and expectations. Scheduled a face to face. What a fiasco. Very disorganized - no real questions asked or answers to questions given. Interviewer did not have insight into the job or expectations. Appeared as though the decision had already been made. After a very unsatisfying interview, he actually had the audacity to ask for a complete recap of both the phone interview (2 weeks previous) and the current interview, so he could pass along to the hiring manager. (As though he would not be making recommendations or screening - so why did i just waste my time?) I completed the ""homework"" assignment and followed up a week later - only to get an out of office/vacation auto response. I continued to follow up weekly - without response. three months + later, they declined. Really? I had always considered McGraw-Hill to be a professional org...that's why i applied. boy, was i wrong.",No Offer,Negative, , ,What do you know about McGraw-Hill,Do you have any questions about the job description, , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW12730347.htm,JRA,Hyderabad,Telangana,India,11/19/2016,Very Easy,33,"phone interview, face to face interview, after that I was called in the office for final interview with the HR. then phone interview, face to face interview, after that I was called in the office for final interview with the HR. then phone interview, face to face interview, after that I was called in the office for final interview with the HR",Accepted Offer,Negative, , ,basic questions were asked during the interview? neither too hard nor too easy, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW8220367.htm,JRA,Hyderabad,Telangana,India,10/7/2015,Average,2,"Day 1:Written Test.The result was informed after 1 week via phone. Day 2:Technical Interview conducted by panel English Language Test for testing English Proficiency Finally,HR Interview which consisted of usual self introduction etc.",Accepted Offer,Positive, , ,"Formation of company,Diversification,Questions regarding NSE,BSE etc", , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW665074.htm,Bids & Contracts Coordinator, , , ,9/28/2010,Easy,1,"Interview for the position, hired within two weeks. Hiring manager was very nice, up front, and sharp.",Accepted Offer,Positive, ,No negotiation on salary allowed.,Why do you want this position?, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW8390932.htm,SummerAnalyst, , , ,10/22/2015,Easy,1,"The interview process has been conduct trough an online platform called HireVue. Basically, you do not have to interact with an other person, but appear 10 questions on your screen and you have to register your answers. That is why you need a device with a webcam and a microphone. The interview lasts about 30 min. It is an interesting way to take interviews, and it gives candidates the chance to peak more about their personal life and experience. There are 10 questions and you have, like 3 minutes for each.",No Offer,Positive, , ,1. What do you know about McGraw Hill Financial and Standard and Poor's Ratings Services?,2.Why did you apply to the program?,3. What makes you think you are suited for the program?,4. Which are in your opinion three personal aspects necessary to succeed in this program?, , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW897931.htm,"Field Representative, Higher Education", , , ,4/14/2011,Average,90,"Started with an HR phone interview, then the manager on the phone, then the manager and her boss in person, then a campus project with a submitted report, then met with the manger again, then a phone interview with the manager's boss, then I started to question their seriousness in me as a candidate, and I was assured this was just the process, then they flew me to NYC for interviews with the National Sales Manager and three editors. I was up against another candidate who ended up getting the job. Oddly, he lived closer to the anchor school than I. I was told if I wanted to relocate, they might have another position for me. Good luck if you are interviewing for a higher ed sales position with this company--they will keep you waiting and keep asking you to jump through hoops. I know many others who have had the same experience with McGraw-HIll.",No Offer,Negative, , ,All very routine. I was never taken off-guard. My location and drive time seemed more important then my skill set., , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW2297155.htm,REgional Planeer,Mexico,Distrito Federal,Mexico,1/20/2013,Average,3,my hiring process lasted one 3 days,Accepted Offer,Positive, , ,they asked me a improvements to their unconscious processes, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW20414745.htm,Credit Summer Analyst, , , ,5/3/2018,Average,30,"First you must complete a HireVue interview. If successful, you are invited to the second round telephone interviews (2) with two S&P employees. Please note that all languages mentioned in your CV will be examined by the interviewers.",Accepted Offer,Positive, , ,How do you relate your personal interests to your work at S&P?, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW6345176.htm,"Translation, Research",Buenos Aires,Federal Capital,Argentina,4/15/2015,Average,14,"Nice pre screening interview- aprox 30 min talk. Interview in the company : nice people but not everything was ok. e.g Don't worry about test, a lot of people even don't start to do it it's only just to know your financial language level. bla bla bla They were looking for someone for 2 years. When I ask what's gonna be after? mhhhhhh no answer",Declined Offer,Positive, , ,"Why are you interested to work for McGraw?
What is your 3 good and 3 dark sides?
How you can imagine your life in next 2 years?
and etc. simple questions.
", , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW6435261.htm,Research Operation, , , ,4/25/2015,Easy, ,Received a call from HR to introduce myself in terms of background and job experience. The HR has mixed up my application on another position and the job requirements were deceiving. The HR has promised to give me a call the day after but then she rejected that in the email.,No Offer,Negative, , ,Why do you want to apply for this role?,Can you tell the difference between S&P Rating and S&P Capital IQ?, , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW13306133.htm,Senior Financial Modeling Associate, , , ,1/12/2017,Average,1,Got the opportunity through campus. Interview was held in their Hyderabad office. The process was completed in one day. Process was smooth and HR was polite. 2 rounds of interview: 1. technical 2. Interview with Department head. General discussion.,Accepted Offer,Positive, , ,"Questions based on Accounting n Finance.
- Stock split
-Give format on income statement n Cash flow statement
- Formula of EV 
- Tell 4 types of ratios - give examples of each", , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW12423753.htm,Commodity Associate, , , ,10/23/2016,Easy, ,"I applied associate program online. After two weeks, I received invitation letter and Interviewed through HireVue. It was video interview with computer. You can practice as many as you want before you actually record the interview.",No Offer,Positive, , ,"What does S&P Platts do? 
Why are you interested in commodity? 
What is your background and how does it fit to this position?", , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW13760514.htm,SummerRatings,London,England,UK,2/13/2017,Average,14,"Online application followed by video interview with prerecorded questions. Why S&P, education what could you contribute with. Followed by 2 telephone interviews, technical questions and personal. Then Assessment day.",No Offer,Positive, , ,Tell me the difference between the US and North Korea? Financial Statements etc. , , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW21538735.htm,Associate Enterprise Technical Support,Islamabad,Islamabad,Pakistan,7/18/2018,Average,3,Got a 15 minute call as a preliminary screening interview after which I was called for an onsite interview. Very accomodating and the experience was great. The interview was carried out by 2 people as a panel. The questions were mostly aimed at gauging my commitment and personality. It was not a technical interview.,No Offer,Positive, , ,Why do I want to persue this post and where do I see myself in 2 years? , , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW22947870.htm,Program S&P,London,England,UK,10/14/2018,Difficult,14,There are 10 Video Questions followed by question regarding your university actual and expected grades. Please prepare for some of the questions that I have mentioned below to assist you in answering the video questions easily. You have to be prepared to avoid blackouts during the video sessions and keep note of the question at hand,No Offer,Positive, , ,How  do you think your academic / work experience makes you fit for the job,What do you know about S&P Global Credit Ratings,What are the 3 most important skills you feel are required to make you succeed on the job at S&P,Why do you think you are suited for this job,Do you require work authorization to work at S&P in the country you are applying. What is your current visa status, 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW26096873.htm,Senior Software Engineer,Hyderabad,Telangana,India,5/11/2019,Average,5,"Interview was scheduled to start at 09:30 am and we were supposed to reach 15 mins before, as mentioned in the interview call letter. First round was to wait for 1 hour and 30 mins as HR Haritha didn't come to office on that day. Neither she informed us anything. Later interview was started by Chaithanya at 11:00 am. I cleared technical and decided not to proceed as they told me that they were hiring full stack developers before starting the process. However interviewer said they work only in asp.net and hiring for their team only.",Declined Offer,Negative, , ,ASP. Net, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW25219113.htm,Talent Acquisition Specialist,London,England,UK,3/18/2019,Easy,60,"Very poor - communication was terrible from Talent Acquisition Manager. Kept rescheduling telephone interviews last minute. Time in between interviews was very long with no communication even when I followed up with calls and emails. In one face to face interview with the EMEA Talent Acquisition Director he was very disengaged. Kept looking at his two mobile phones - checking Whatsapp messages and what looked like emails. No real structure to his interview, not really many questions asked. He then left me for 15 minutes whist he looked for someone in his team to pop into meet with me. They too un prepared and unable to effectively interview - the lady spoke mostly about herself and her experience.",Accepted Offer,Negative, , ,They tried to ask me about my experience but didn't use leading questions when trying to implement a competency based style, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW24038767.htm,Research Data Analyst,Gurgaon,Haryana,India,1/3/2019,Difficult, ,It was good process i applied through campus recruitment and the interview process was tough including 3 rounds one was aptitude test followed by two personal interviews. The aptitude test was of 5 various domains including finance general aptitude general awareness and one statement of purpose.,Declined Offer,Positive, , ,Why do you want to join us? , , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW24288297.htm,Research Data Analyst,Gurgaon,Haryana,India,1/19/2019,Average,30,There was only on HR Round and other rounds were Analytical Test and Face to Face Interview. They asked about Merger and Acquisition. They asked abiut financial terms and financial statements,Accepted Offer,Positive, , ,How was the Internship in MBA and What are your hobvies.About Merger and Acquisition, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW24529124.htm,Research Data Analyst,Indore,Madhya Pradesh,India,2/4/2019,Average,2,The process took two days in which the first day includes GD round followed by the Interview round the very next day. The GD round was easy and the HR person was non biased during the group discussion. They selects the right person for the PI round. In the PI round as well the HR was very cooperative. Overall it was a nice experience for me.,No Offer,Positive, , ,They usually asks basic accounting questions and some of the questions depend upon the internship you did during your MBA., , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW24731721.htm,Research Data Analyst,Gurgaon,Haryana,India,2/16/2019,Average, ,"First was online test , then continued by a hr round , then technical round followed by the final round with senior manager Online test inculdes all basic aptitude verbal ability and knowledge about finance and accounting.",No Offer,Positive, , ,What do you know about s&p, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW25146420.htm,Data Architect,Islamabad,Islamabad,Pakistan,3/13/2019,Average, ,I had gone through the of interview for the position of Data Architect I for Islamabad office . 1st HR Screening Interview on telephone ( Introduction + JD + Technical Questions ) 2nd Online SQL test 3rd Onsite Interview (Islamabad),No Offer,Positive, , ,"1st HR Screening Interview on telephone ( Introduction + JD + Technical Questions )
2nd Online SQL test
3rd Onsite Interview (Islamabad)", , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW24173479.htm,Research Analyst, , , ,1/12/2019, , ,Is very tuff aptitude test . But is was good experience this is very good and growthful company and we lear so many things from that things. Nice place to work,Declined Offer,Positive, , , , , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW24762060.htm,Research Associate,Manila,Manila,Philippines,2/18/2019,Average, ,"Recruitment staff made sure to walk you through the whole interview process. Series of 3 interviews - 1st with the HR staff, 2nd with the supervisor and 3rd with the hiring manager. HR staff even gave tips on what to expect for the last interview. BUT, never heard anything from the HR afterwards. I've tried to ask for updates but got no response, not even a generic message informing the candidates of the results.",No Offer,Negative, , ,"Interview with HR: typical suitability for the job questions, some questions about my resume and qualifications
Interview with supervisor and hiring manager: strength and weaknesses, technical questions and qualifications", , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW25004176.htm,Research Associate,Gurgaon,Haryana,India,3/5/2019,Average,21,"3- 4 rounds , First round is generally HR , second is technical based on market understanding , and third is usually managerial round. round with Director of the company .",Accepted Offer,Positive, , ,what are your strengths and weaknesses , , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW25700465.htm,Technical Support Engineer,Hyderabad,Telangana,India,4/16/2019,Easy, ,I got a mail related to exam online test ... After completing exam after three days i got phone call interview where they just checked my communication skills and told me that TI AND PI will be done in skype because of some problem I can't travel to their office so thats i requested them for skype interview so she said ok with that and she said they will send me a mail related to interview date and time .....after that there is no mail related to interview date and time till now ..and even sending them mail also i m not get any response from them ..,Declined Offer,Neutral, , ,Normal tell me about yourself and related to basic c programming questions thats it., , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW26042862.htm,Data Researcher, , , ,5/8/2019,Average,1,Aptitude test followed by SKYPE which went for about an hour. Next day i got the conformation mail by HR and offer letter shortly after confirming. Not so difficult but covered finance topics,Accepted Offer,Positive, , ,"Basic finance questions such as EPS, M&A, and other stuffs.", , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW25319622.htm,Client Engagement Associate,Makati City,National Capital Region,Philippines,3/24/2019,Average, ,"Scheduled a call interview through text, then called on the expected time of interview. The human resource was ver considerate and patient in conducting part of the interview, given that I was in the bathroom while the interview was occurring.",Accepted Offer,Neutral, , ,What is S&P Global? What do you think we do?, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW26175950.htm,Financial Modeling Associate,Hyderabad,Telangana,India,5/16/2019,Average, ,"We had three rounds, Out of which one was technical round Second was skill test Third director interview First round consisted of all basic accounting questions Second was skill test Third round was one on one director interview",Declined Offer,Neutral, , ,Private placement , , , , , 
