,pros_page1,pros_page_rating_value,answer_re,answer_re_oth,answer_re_n
375,"Moody's is a great place to work, especially if you are at the beginning of your career. Employees are very nice and the culture is very collegial. People help each other and the environment is not so competitive.",1,"Moody's is a great place to work, especially if you are at the beginning of your career. Employees are very nice and the culture is very collegial. People help each other and the environment is not so competitive.",moody s is a great place to work especially if you are at the beginning of your career employees are very nice and the culture is very collegial people help each other and the environment is not so competitive ,"culture, environment, place, great"
376,"Easy working environment, flexible hours, colleagues and other professionals are usually very supportive. Pay is good and progression as well.",2,"Easy working environment, flexible hours, colleagues and other professionals are usually very supportive. Pay is good and progression as well.",easy working environment flexible hours colleagues and other professionals are usually very supportive pay is good and progression as well ,"flexible, working"
377,"Very limited pros- good colleagues, despite high turn over. Very international workforce with people from all over the world- good name on CV-",4,"Very limited pros- good colleagues, despite high turn over. Very international workforce with people from all over the world- good name on CV-",very limited pros good colleagues despite high turn over very international workforce with people from all over the world good name on cv ,people
378,"I worked in a smaller office and really enjoyed the camaraderie within the smaller group. Moody's is a decent resume booster, and there are a lot of smart people you can learn from who are also down to earth. If you really ""drink the Kool-Aid"", there is room for advancement, and work-life balance is good (but probably dependent on the team you're on).",3,"I worked in a smaller office and really enjoyed the camaraderie within the smaller group. Moody's is a decent resume booster, and there are a lot of smart people you can learn from who are also down to earth. If you really ""drink the Kool-Aid"", there is room for advancement, and work-life balance is good (but probably dependent on the team you're on).",i worked in a smaller office and really enjoyed the camaraderie within the smaller group moody s is a decent resume booster and there are a lot of smart people you can learn from who are also down to earth if you really drink the kool aid there is room for advancement and work life balance is good but probably dependent on the team you re on ,"smart, balance, people"
379,"Good benefits, good work life balance, and they have fun events like holiday parties. Good pantry and facilities",4,"Good benefits, good work life balance, and they have fun events like holiday parties. Good pantry and facilities",good benefits good work life balance and they have fun events like holiday parties good pantry and facilities,work
380,At Moody's there is career opportunity. It is a very diverse environment and professional environment. There is a lot of training available at all levels internally.It depends on what team you are in. Generally the work life balance is good as you can work from home usually when needed. Maternity and Paternity leave are available.,3,At Moody's there is career opportunity. It is a very diverse environment and professional environment. There is a lot of training available at all levels internally.It depends on what team you are in. Generally the work life balance is good as you can work from home usually when needed. Maternity and Paternity leave are available.,at moody s there is career opportunity it is a very diverse environment and professional environment there is a lot of training available at all levels internally it depends on what team you are in generally the work life balance is good as you can work from home usually when needed maternity and paternity leave are available ,"environment, work, balance, home"
381,"Good work and life balance, especially in China, as most IT companies need to work overtime People are nice to help eachother",3,"Good work and life balance, especially in China, as most IT companies need to work overtime People are nice to help eachother",good work and life balance especially in china as most it companies need to work overtime people are nice to help eachother,work
382,The benefits were good overall,3,The benefits were good overall,the benefits were good overall,benefits
383,Culture Great Work environment Great management and leadership,4,Culture Great Work environment Great management and leadership,culture great work environment great management and leadership,"environment, management"
384,"Moderate pressure environment. great benefits, competitive compensation, lack of any real competitors",1,"Moderate pressure environment. great benefits, competitive compensation, lack of any real competitors",moderate pressure environment great benefits competitive compensation lack of any real competitors,"pressure, great"
385,"Professional atmosphere, inclusive culture, opportunities for advancement",1,"Professional atmosphere, inclusive culture, opportunities for advancement",professional atmosphere inclusive culture opportunities for advancement,
386,Was a good company before acquisition by Moodys.,2,Was a good company before acquisition by Moodys.,was a good company before acquisition by moodys ,company
387,"Profissionais experientes , gabaritados e dispostos a ensinar. Grande possibilidade de aprender sobre várias áreas que a empresa atua.",4,"Profissionais experientes , gabaritados e dispostos a ensinar. Grande possibilidade de aprender sobre várias áreas que a empresa atua.",profissionais experientes gabaritados e dispostos a ensinar grande possibilidade de aprender sobre várias áreas que a empresa atua ,
388,"Friendly, collaborative atmosphere. Emphasis on career development, continuing education, mentoring and volunteerism. Flexible work arrangements and education reimbursement programs are available.",3,"Friendly, collaborative atmosphere. Emphasis on career development, continuing education, mentoring and volunteerism. Flexible work arrangements and education reimbursement programs are available.",friendly collaborative atmosphere emphasis on career development continuing education mentoring and volunteerism flexible work arrangements and education reimbursement programs are available ,work
389,Train new hires very thoroughly and with patience. People are very nice. Hours are really good.,4,Train new hires very thoroughly and with patience. People are very nice. Hours are really good.,train new hires very thoroughly and with patience people are very nice hours are really good ,
390,A very helpful internship. You get great advice from a helpful team of mentors.,3,A very helpful internship. You get great advice from a helpful team of mentors.,a very helpful internship you get great advice from a helpful team of mentors ,great
391,Exposition to top-management; Great work-life balance,3,Exposition to top-management; Great work-life balance,exposition to top management great work life balance,balance
392,"Self directed work, exposure to large amount of capital markets",3,"Self directed work, exposure to large amount of capital markets",self directed work exposure to large amount of capital markets,
393,"great culture, little face-time, nice co-workers rare for finance industry",4,"great culture, little face-time, nice co-workers rare for finance industry",great culture little face time nice co workers rare for finance industry,great
394,Good company to work for,1,Good company to work for,good company to work for,"work, company"
395,Fairly good pay and work life balance. Good office space for senior analysts. Revenues still growing and market share pretty resilient despite authorities having tried to shift market share to smaller agencies a while back.,1,Fairly good pay and work life balance. Good office space for senior analysts. Revenues still growing and market share pretty resilient despite authorities having tried to shift market share to smaller agencies a while back.,fairly good pay and work life balance good office space for senior analysts revenues still growing and market share pretty resilient despite authorities having tried to shift market share to smaller agencies a while back ,"senior, work, pay"
396,Nice people to work with and flexible work schedule.,2,Nice people to work with and flexible work schedule.,nice people to work with and flexible work schedule ,"work, flexible, people"
397,Moody's provides a strong work life balance that allows people to leave at a reasonable time and balance work with their personal lives.,4,Moody's provides a strong work life balance that allows people to leave at a reasonable time and balance work with their personal lives.,moody s provides a strong work life balance that allows people to leave at a reasonable time and balance work with their personal lives ,"work, balance, people"
398,Good place to start. Good People.,3,Good place to start. Good People.,good place to start good people ,place
399,Good Exposure in a role that provides a end to end understanding of a credit. Company's status gives employees interaction with top decision makers and senior management. Relatively flat structure gives (even junior) staff ownership of final reports/ratings/research,4,Good Exposure in a role that provides a end to end understanding of a credit. Company's status gives employees interaction with top decision makers and senior management. Relatively flat structure gives (even junior) staff ownership of final reports/ratings/research,good exposure in a role that provides a end to end understanding of a credit company s status gives employees interaction with top decision makers and senior management relatively flat structure gives even junior staff ownership of final reports ratings research,senior
400,"Chill, people are friendly, jobs are straightforward",3,"Chill, people are friendly, jobs are straightforward",chill people are friendly jobs are straightforward,people
401,"Due to the nature of the industry and the highly regulated environemnt, barrier for entry is high.",3,"Due to the nature of the industry and the highly regulated environemnt, barrier for entry is high.",due to the nature of the industry and the highly regulated environemnt barrier for entry is high ,
402,Working environment is very good. Collegial environment that you can learn a lot from your colleagues and senior managers. Juniors are encouraged to share their ideas.,3,Working environment is very good. Collegial environment that you can learn a lot from your colleagues and senior managers. Juniors are encouraged to share their ideas.,working environment is very good collegial environment that you can learn a lot from your colleagues and senior managers juniors are encouraged to share their ideas ,"senior, environment"
403,"Great place to work. Great benefits, laid back environment. Ability to grow if desired.",4,"Great place to work. Great benefits, laid back environment. Ability to grow if desired.",great place to work great benefits laid back environment ability to grow if desired ,place
404,Growing Company and lots of opportunities to expand your skill. Employees are treated with respect. Good company for growing your career.,1,Growing Company and lots of opportunities to expand your skill. Employees are treated with respect. Good company for growing your career.,growing company and lots of opportunities to expand your skill employees are treated with respect good company for growing your career ,company
405,"Fantastic culture, true commitment to diversity & inclusion, intelligent colleagues.",1,"Fantastic culture, true commitment to diversity & inclusion, intelligent colleagues.",fantastic culture true commitment to diversity inclusion intelligent colleagues ,
406,"Leading Global Provider of Ratings Services; Intelectual Leadership in Ratings, Credit Risk and Capital Management for Financial Institutions Excellent Work Environment",2,"Leading Global Provider of Ratings Services; Intelectual Leadership in Ratings, Credit Risk and Capital Management for Financial Institutions Excellent Work Environment",leading global provider of ratings services intelectual leadership in ratings credit risk and capital management for financial institutions excellent work environment,
407,Good work life balance and corporate culture: good pay given the work life balance,4,Good work life balance and corporate culture: good pay given the work life balance,good work life balance and corporate culture good pay given the work life balance,"work, balance, pay"
408,"Good credit training, work for very smart senior Analysts, good work life balance",3,"Good credit training, work for very smart senior Analysts, good work life balance",good credit training work for very smart senior analysts good work life balance,"smart, work, balance, senior"
409,"Large customer base, great opportunities for self starters, great benefits for those who are trying to provide for families.",4,"Large customer base, great opportunities for self starters, great benefits for those who are trying to provide for families.",large customer base great opportunities for self starters great benefits for those who are trying to provide for families ,"great, benefits"
410,They spare no expense to show their appreciation of hard work. It's refreshing to work with the best in the industry. People here take pride in the projects.,3,They spare no expense to show their appreciation of hard work. It's refreshing to work with the best in the industry. People here take pride in the projects.,they spare no expense to show their appreciation of hard work it s refreshing to work with the best in the industry people here take pride in the projects ,work
411,"The Good: Moody's is a great place to work. Employees buy into and live the Employee Value Proposition, which states, ""Our Views Matter. So Will Yours."" It's a flat organization where junior level people can work closely with senior level people and both can gain knowledge from each other. The offices are beautiful, the location is great, and the people are collegial and collaborative. Moody's business model works.",3,"The Good: Moody's is a great place to work. Employees buy into and live the Employee Value Proposition, which states, ""Our Views Matter. So Will Yours."" It's a flat organization where junior level people can work closely with senior level people and both can gain knowledge from each other. The offices are beautiful, the location is great, and the people are collegial and collaborative. Moody's business model works.",the good moody s is a great place to work employees buy into and live the employee value proposition which states our views matter so will yours it s a flat organization where junior level people can work closely with senior level people and both can gain knowledge from each other the offices are beautiful the location is great and the people are collegial and collaborative moody s business model works ,"place, people, senior, work, great"
412,Great People Great internship program Lots of activities for interns Lots of networking opportunities,3,Great People Great internship program Lots of activities for interns Lots of networking opportunities,great people great internship program lots of activities for interns lots of networking opportunities,
413,Has Bi-annual Appraisal which helps retain employees,4,Has Bi-annual Appraisal which helps retain employees,has bi annual appraisal which helps retain employees,
414,"Fast promotions (if you share a good ""rapport"" with your manager)",1,"Fast promotions (if you share a good ""rapport"" with your manager)",fast promotions if you share a good rapport with your manager ,
415,"Good work/life balance, nice exposure",1,"Good work/life balance, nice exposure",good work life balance nice exposure,
416,-great working environment providing lots of autonomy and flexibility -interesting work -stability and job security,2,-great working environment providing lots of autonomy and flexibility -interesting work -stability and job security, great working environment providing lots of autonomy and flexibility interesting work stability and job security,"work, environment, working"
417,1. Good work life balance 2. Flexible working time. 3. Will be exposed to new technologies and new opportunities as long as you are in the right project. 4. Good benefit,4,. Good work life balance . Flexible working time. . Will be exposed to new technologies and new opportunities as long as you are in the right project. . Good benefit, good work life balance flexible working time will be exposed to new technologies and new opportunities as long as you are in the right project good benefit,"work, balance, working"
418,"Interesting work, reputable company, overall very friendly work environment, good work life balance",3,"Interesting work, reputable company, overall very friendly work environment, good work life balance",interesting work reputable company overall very friendly work environment good work life balance,"balance, work, friendly"
419,"Moody's has a wide variety of online training resources. Managers have good relationship with employees, encouraging mobility and seeking out leadership roles for employees. Moody's strives to keep a good work life balance.",4,"Moody's has a wide variety of online training resources. Managers have good relationship with employees, encouraging mobility and seeking out leadership roles for employees. Moody's strives to keep a good work life balance.",moody s has a wide variety of online training resources managers have good relationship with employees encouraging mobility and seeking out leadership roles for employees moody s strives to keep a good work life balance ,work
420,Little to no backstabbing. Most people are quite friendly although I don't see myself inviting anyone over for a holiday dinner any time soon.,3,Little to no backstabbing. Most people are quite friendly although I don't see myself inviting anyone over for a holiday dinner any time soon.,little to no backstabbing most people are quite friendly although i don t see myself inviting anyone over for a holiday dinner any time soon ,"friendly, people"
421,Very few smart and visionary thinkers are people you can learn from Close to the PATH Well known brand in this industry Good amount of work Ability to move internally,3,Very few smart and visionary thinkers are people you can learn from Close to the PATH Well known brand in this industry Good amount of work Ability to move internally,very few smart and visionary thinkers are people you can learn from close to the path well known brand in this industry good amount of work ability to move internally,"smart, work, people"
422,the finance department works well,3,the finance department works well,the finance department works well,
423,"work/life balance, exposure to senior management",4,"work/life balance, exposure to senior management",work life balance exposure to senior management,"senior, management"
424,"Open door management policy, stable employer in financial service. Nice people create a psychologically safe working environment.",1,"Open door management policy, stable employer in financial service. Nice people create a psychologically safe working environment.",open door management policy stable employer in financial service nice people create a psychologically safe working environment ,"management, people, working"
425,"Close knit, cooperative. People liked to work with each other. Smart people for the most part.",1,"Close knit, cooperative. People liked to work with each other. Smart people for the most part.",close knit cooperative people liked to work with each other smart people for the most part ,"work, people"
426,"Nice colleagues. Very nice people to work with. Teams are generally small so exposure to decent work is good. Good work/life balance, hours are not too long & generally 9:30am to 5:30pm",2,"Nice colleagues. Very nice people to work with. Teams are generally small so exposure to decent work is good. Good work/life balance, hours are not too long & generally :am to :pm",nice colleagues very nice people to work with teams are generally small so exposure to decent work is good good work life balance hours are not too long generally am to pm,"hours, work, people"
427,Modern facility and good benefits plan.,4,Modern facility and good benefits plan.,modern facility and good benefits plan ,benefits
428,Everyone lets you speak your mind. Very collaborative. Great work from home policy. Great work/life balance.,3,Everyone lets you speak your mind. Very collaborative. Great work from home policy. Great work/life balance.,everyone lets you speak your mind very collaborative great work from home policy great work life balance ,"work, home"
429,The environment is friendly and collaborative; some managers can be really helpful in supporting your career goals; decent benefits and work/life balance,4,The environment is friendly and collaborative; some managers can be really helpful in supporting your career goals; decent benefits and work/life balance,the environment is friendly and collaborative some managers can be really helpful in supporting your career goals decent benefits and work life balance,"friendly, environment, balance, benefits"
430,"Work life balance, pleasant work atmosphere",3,"Work life balance, pleasant work atmosphere",work life balance pleasant work atmosphere,work
431,buena experiencia. Equipo de amigos y buen ambiente,3,buena experiencia. Equipo de amigos y buen ambiente,buena experiencia equipo de amigos y buen ambiente,
432,Good Core Values - Promote from within,3,Good Core Values - Promote from within,good core values promote from within,
433,1. Good work environment 2. Employee benefit packages 3. Easy for transportation,4,. Good work environment . Employee benefit packages . Easy for transportation, good work environment employee benefit packages easy for transportation,"work, environment"
434,"Great local and suportive bosses, flexi work hours, no politicking.",1,"Great local and suportive bosses, flexi work hours, no politicking.",great local and suportive bosses flexi work hours no politicking ,work
435,Great team environment and support,1,Great team environment and support,great team environment and support,environment
436,"Open communication, friendly culture, easy interview. Manager was very open to listening to opinions, set working systems",2,"Open communication, friendly culture, easy interview. Manager was very open to listening to opinions, set working systems",open communication friendly culture easy interview manager was very open to listening to opinions set working systems,"friendly, working"
437,Decent benefits and decent work-life balance.,4,Decent benefits and decent work-life balance.,decent benefits and decent work life balance ,benefits
438,- work life balance - good health and retirement benefits - low pressure environment,3,- work life balance - good health and retirement benefits - low pressure environment, work life balance good health and retirement benefits low pressure environment,"pressure, balance, work, benefits, health, environment"
439,"Work-life balance, friendly environment, decent exit opportunities",4,"Work-life balance, friendly environment, decent exit opportunities",work life balance friendly environment decent exit opportunities,friendly
440,Great opportunity to perform & grow. One of the finest teams,3,Great opportunity to perform & grow. One of the finest teams,great opportunity to perform grow one of the finest teams,
441,"Full of intelligent, well-meaning people. Interesting work. Company has good intentions.",3,"Full of intelligent, well-meaning people. Interesting work. Company has good intentions.",full of intelligent well meaning people interesting work company has good intentions ,
442,"Good peers, especially the ones who have been in the company for a while.",3,"Good peers, especially the ones who have been in the company for a while.",good peers especially the ones who have been in the company for a while ,company
443,Collegial and supportive culture. Meaningful work. Broad exposure to market.,4,Collegial and supportive culture. Meaningful work. Broad exposure to market.,collegial and supportive culture meaningful work broad exposure to market ,
444,"Reputabale firm, looks good on your CV and nice colleagues tonwork with.",1,"Reputabale firm, looks good on your CV and nice colleagues tonwork with.",reputabale firm looks good on your cv and nice colleagues tonwork with ,
445,Above average work-life balance; Many employee affinity group events and volunteer opportunities; Smart colleagues. Decent culture that values rigorous analysis,1,Above average work-life balance; Many employee affinity group events and volunteer opportunities; Smart colleagues. Decent culture that values rigorous analysis,above average work life balance many employee affinity group events and volunteer opportunities smart colleagues decent culture that values rigorous analysis,culture
446,Work is interesting and challenging,2,Work is interesting and challenging,work is interesting and challenging,
447,"Good exposure to the business and client world. Good training. A lot of learning opportunities. • Ability to provide management direction and resolve complex, multi-faceted problems to meet the business needs of Global Banking & Markets, by applying their financial and technological knowledge to the design of systems solutions, methodologies, and/or processes.",4,"Good exposure to the business and client world. Good training. A lot of learning opportunities. • Ability to provide management direction and resolve complex, multi-faceted problems to meet the business needs of Global Banking & Markets, by applying their financial and technological knowledge to the design of systems solutions, methodologies, and/or processes.",good exposure to the business and client world good training a lot of learning opportunities ability to provide management direction and resolve complex multi faceted problems to meet the business needs of global banking markets by applying their financial and technological knowledge to the design of systems solutions methodologies and or processes ,management
448,"great culture and collaborative working environment flat structure, access to senior managers",3,"great culture and collaborative working environment flat structure, access to senior managers",great culture and collaborative working environment flat structure access to senior managers,"culture, senior, environment, great, working"
449,"Good work life balance, flexibility",4,"Good work life balance, flexibility",good work life balance flexibility,work
450,Work life balance is great.,3,Work life balance is great.,work life balance is great ,balance
451,they have a great tuition assistance benefit,3,they have a great tuition assistance benefit,they have a great tuition assistance benefit,great
452,Collegiate environment among analysts; great environment to learn about credit analysis; closer contact with issuers than mos to other institutions; possible to move around different geographic locations to keep the job more exciting; stable job environment,3,Collegiate environment among analysts; great environment to learn about credit analysis; closer contact with issuers than mos to other institutions; possible to move around different geographic locations to keep the job more exciting; stable job environment,collegiate environment among analysts great environment to learn about credit analysis closer contact with issuers than mos to other institutions possible to move around different geographic locations to keep the job more exciting stable job environment,"environment, great"
453,"Multinacional, conexão com CFOs e CEOs de grandes empresas. Interação com diferentes escritórios ao redor do mundo. E a depender da área, sua qualidade de vida pode ser bastante boa.",4,"Multinacional, conexão com CFOs e CEOs de grandes empresas. Interação com diferentes escritórios ao redor do mundo. E a depender da área, sua qualidade de vida pode ser bastante boa.",multinacional conexão com cfos e ceos de grandes empresas interação com diferentes escritórios ao redor do mundo e a depender da área sua qualidade de vida pode ser bastante boa ,
454,-People are great to work with -Calm work environment -Flexibility around work hours,1,-People are great to work with -Calm work environment -Flexibility around work hours, people are great to work with calm work environment flexibility around work hours,"great, work, environment, hours"
455,-One of three leader in the field -Flexible working days -People are usually easy to work with,1,-One of three leader in the field -Flexible working days -People are usually easy to work with, one of three leader in the field flexible working days people are usually easy to work with,"work, working"
456,"great collaborative work environment, work life balance",2,"great collaborative work environment, work life balance",great collaborative work environment work life balance,"work, balance, great"
457,"Good Culture, High on Compliance",4,"Good Culture, High on Compliance",good culture high on compliance,
458,"Great health insurance, 4 weeks paid paternity leave, exposure to research opportunities, company has tried to embrace flexible work arrangements in recent years",3,"Great health insurance, weeks paid paternity leave, exposure to research opportunities, company has tried to embrace flexible work arrangements in recent years",great health insurance weeks paid paternity leave exposure to research opportunities company has tried to embrace flexible work arrangements in recent years,"work, flexible, company, health"
459,Great learning environment with access to trainings and autonomous work. Collegial team environment. Empowered to excel and work on what interests you.,4,Great learning environment with access to trainings and autonomous work. Collegial team environment. Empowered to excel and work on what interests you.,great learning environment with access to trainings and autonomous work collegial team environment empowered to excel and work on what interests you ,"work, environment"
460,"stable company, good salary and benefits and nice colleagues",3,"stable company, good salary and benefits and nice colleagues",stable company good salary and benefits and nice colleagues,"salary, benefits"
461,learn credit analysis exposure to market private offices for analysts good support from junior resources,3,learn credit analysis exposure to market private offices for analysts good support from junior resources,learn credit analysis exposure to market private offices for analysts good support from junior resources,
462,"-Work life balance is good -Overall good benefits (401k, Medical, Dental) -Work culture is pleasant and respectful of others -Supportive of LGBT rights",3,"-Work life balance is good -Overall good benefits (k, Medical, Dental) -Work culture is pleasant and respectful of others -Supportive of LGBT rights", work life balance is good overall good benefits k medical dental work culture is pleasant and respectful of others supportive of lgbt rights,"culture, balance, benefits"
463,Good Work Life Balance People are generally nice You are treated like a grown up as long as you get your work done,4,Good Work Life Balance People are generally nice You are treated like a grown up as long as you get your work done,good work life balance people are generally nice you are treated like a grown up as long as you get your work done,work
464,"Work-life balance, the opportunity to work with some really talented analysts, the exposure from being at a market leader",1,"Work-life balance, the opportunity to work with some really talented analysts, the exposure from being at a market leader",work life balance the opportunity to work with some really talented analysts the exposure from being at a market leader,"work, talented"
465,Good work life balance. OK salary.,1,Good work life balance. OK salary.,good work life balance ok salary ,work
466,"Good work-life balance, collaborative and smart colleagues.",2,"Good work-life balance, collaborative and smart colleagues.",good work life balance collaborative and smart colleagues ,smart
467,work life balance - fairly reasonable work hours. Get to avoid working weekends interesting work - get to hear from the companies directly More objective than sell side research as you do not have to appease anyone,4,work life balance - fairly reasonable work hours. Get to avoid working weekends interesting work - get to hear from the companies directly More objective than sell side research as you do not have to appease anyone,work life balance fairly reasonable work hours get to avoid working weekends interesting work get to hear from the companies directly more objective than sell side research as you do not have to appease anyone,"work, balance, working"
468,Great Project with good career opportunities.,3,Great Project with good career opportunities.,great project with good career opportunities ,
469,"-Great benefits including paid time off and leave policies. -There is a lot of variety in the analytical work we do, which keeps the job interesting. -Moody's is good about promoting from within; people usually don't get stuck in junior roles for lo",4,"-Great benefits including paid time off and leave policies. -There is a lot of variety in the analytical work we do, which keeps the job interesting. -Moody's is good about promoting from within; people usually don't get stuck in junior roles for lo", great benefits including paid time off and leave policies there is a lot of variety in the analytical work we do which keeps the job interesting moody s is good about promoting from within people usually don t get stuck in junior roles for lo,"work, benefits, people"
470,- you can do quality analysis - you get amazing exposure to management and investors/officials,3,- you can do quality analysis - you get amazing exposure to management and investors/officials, you can do quality analysis you get amazing exposure to management and investors officials,management
471,Very good opportunity to stay for a long time,3,Very good opportunity to stay for a long time,very good opportunity to stay for a long time,
472,Timings are flexible for work and life balance .,3,Timings are flexible for work and life balance .,timings are flexible for work and life balance ,"work, flexible, balance"
473,Great learning environment and starting place.,4,Great learning environment and starting place.,great learning environment and starting place ,environment
474,"great people, great location, nice",1,"great people, great location, nice",great people great location nice,great
475,Work flow is manageable. Working hours are 40 even during peak season. Your salary can be higher if you speak more than one language.,1,Work flow is manageable. Working hours are even during peak season. Your salary can be higher if you speak more than one language.,work flow is manageable working hours are even during peak season your salary can be higher if you speak more than one language ,"salary, hours"
476,"Although compensation is on the lower end compared to sell-side and buy-side firms, per-hour pay is reasonable. Lots of opportunities for lateral moves if you get stuck on a dead-end/slow-growth track",2,"Although compensation is on the lower end compared to sell-side and buy-side firms, per-hour pay is reasonable. Lots of opportunities for lateral moves if you get stuck on a dead-end/slow-growth track",although compensation is on the lower end compared to sell side and buy side firms per hour pay is reasonable lots of opportunities for lateral moves if you get stuck on a dead end slow growth track,"compensation, pay"
477,Great work culture and colleagues; open access to senior management; genuine opportunity to make a difference,4,Great work culture and colleagues; open access to senior management; genuine opportunity to make a difference,great work culture and colleagues open access to senior management genuine opportunity to make a difference,"culture, work, senior"
478,"The culture at Moody's is great- the people are generally nice and there is no room for cowboys. In addition, employees are incredibly diverse with just about nationality and language represented there.",3,"The culture at Moody's is great- the people are generally nice and there is no room for cowboys. In addition, employees are incredibly diverse with just about nationality and language represented there.",the culture at moody s is great the people are generally nice and there is no room for cowboys in addition employees are incredibly diverse with just about nationality and language represented there ,"culture, people"
479,Great work environment. Open door policy. Multicultural.,4,Great work environment. Open door policy. Multicultural.,great work environment open door policy multicultural ,work
480,good place to work for,3,good place to work for,good place to work for,"work, place"
481,Some work/life balance flexibility. The work is interesting on occasion.,3,Some work/life balance flexibility. The work is interesting on occasion.,some work life balance flexibility the work is interesting on occasion ,"work, balance"
482,Amazing place to learn fast,3,Amazing place to learn fast,amazing place to learn fast,"place, fast"
483,Exposure to senior management internally and externally,4,Exposure to senior management internally and externally,exposure to senior management internally and externally,"senior, management"
484,Many smart/experienced people. Life and work balance.,1,Many smart/experienced people. Life and work balance.,many smart experienced people life and work balance ,work
485,Good work life balance and career opportunities,1,Good work life balance and career opportunities,good work life balance and career opportunities,"work, balance"
486,"Comfortable environment, nice building, has good benefits",2,"Comfortable environment, nice building, has good benefits",comfortable environment nice building has good benefits,benefits
487,"Solid company, good pay, reasonable benefits package.",4,"Solid company, good pay, reasonable benefits package.",solid company good pay reasonable benefits package ,benefits
488,"WFH option, Nice working enviorment Nice colleage",3,"WFH option, Nice working enviorment Nice colleage",wfh option nice working enviorment nice colleage,working
489,"Great experience, intelligent, hard-working team.",4,"Great experience, intelligent, hard-working team.",great experience intelligent hard working team ,
490,"Good work-life balance, fair compensation",3,"Good work-life balance, fair compensation",good work life balance fair compensation,compensation
491,Good work environment and teamwork Working remotely is just as effective as from working from the office Diverse and inclusive corporate culture,3,Good work environment and teamwork Working remotely is just as effective as from working from the office Diverse and inclusive corporate culture,good work environment and teamwork working remotely is just as effective as from working from the office diverse and inclusive corporate culture,"culture, work, environment, working"
492,-Work from home -Opportunities to attend learning presentations -Relaxed nature of the company,3,-Work from home -Opportunities to attend learning presentations -Relaxed nature of the company, work from home opportunities to attend learning presentations relaxed nature of the company,"home, company"
493,Great people for the most part. Potential to have a great blend of intellectually stimulating and relevant work.,4,Great people for the most part. Potential to have a great blend of intellectually stimulating and relevant work.,great people for the most part potential to have a great blend of intellectually stimulating and relevant work ,"great, people"
494,Better than I had expected. Smooth interview process and supportive team.,1,Better than I had expected. Smooth interview process and supportive team.,better than i had expected smooth interview process and supportive team ,
495,Great Work Life Balance Nice People Cafe is nice and well priced Awesome area bosses want to help you achieve goals,1,Great Work Life Balance Nice People Cafe is nice and well priced Awesome area bosses want to help you achieve goals,great work life balance nice people cafe is nice and well priced awesome area bosses want to help you achieve goals,
496,All employees are valued at Moody's. They take Diversity & Inclusion seriously! I like the variety of people that work at Moody's. The CEO & CFO ate top notch. I love working at Moody's.,2,All employees are valued at Moody's. They take Diversity & Inclusion seriously! I like the variety of people that work at Moody's. The CEO & CFO ate top notch. I love working at Moody's.,all employees are valued at moody s they take diversity inclusion seriously i like the variety of people that work at moody s the ceo cfo ate top notch i love working at moody s ,"work, people, working"
497,"Good place to get sound footing in capital markets, transactional work and credit analysis. Top shelf conscientious analytical staff.",4,"Good place to get sound footing in capital markets, transactional work and credit analysis. Top shelf conscientious analytical staff.",good place to get sound footing in capital markets transactional work and credit analysis top shelf conscientious analytical staff ,"work, place"
498,"Company has great reputation. In the Financial Services industry, I think Moody's provides exceptional work-life balance to employees. Great place for mid career professionals with young families . You will be able to advance your career while still spending time with your family.",3,"Company has great reputation. In the Financial Services industry, I think Moody's provides exceptional work-life balance to employees. Great place for mid career professionals with young families . You will be able to advance your career while still spending time with your family.",company has great reputation in the financial services industry i think moody s provides exceptional work life balance to employees great place for mid career professionals with young families you will be able to advance your career while still spending time with your family ,"balance, place, great"
499,Diversity is very decent. Vacations are fine.,4,Diversity is very decent. Vacations are fine.,diversity is very decent vacations are fine ,
500,"High integrity, good career opportunities",3,"High integrity, good career opportunities",high integrity good career opportunities,
501,"Received insightful advice from seniors, went through the internship before University and colleagues gave sound advice for what to expect and everyone were kind enough to take out time to speak to you. Having an internship at Moody's in high school had prepared me for finance courses in uni and made me top of my batch when getting selected for banking internships.",3,"Received insightful advice from seniors, went through the internship before University and colleagues gave sound advice for what to expect and everyone were kind enough to take out time to speak to you. Having an internship at Moody's in high school had prepared me for finance courses in uni and made me top of my batch when getting selected for banking internships.",received insightful advice from seniors went through the internship before university and colleagues gave sound advice for what to expect and everyone were kind enough to take out time to speak to you having an internship at moody s in high school had prepared me for finance courses in uni and made me top of my batch when getting selected for banking internships ,
502,"Good exposure for fresher, Bi-annual appraisal",3,"Good exposure for fresher, Bi-annual appraisal",good exposure for fresher bi annual appraisal,
503,"Little investment in formal training but great 'on the job' learning ground if you are relatively early in your career. In the main, people are nice and the HR department in London is quite sociable. Diverse organisation from a cultural perspective and huge progress made in the diversity space over the last few years.",4,"Little investment in formal training but great 'on the job' learning ground if you are relatively early in your career. In the main, people are nice and the HR department in London is quite sociable. Diverse organisation from a cultural perspective and huge progress made in the diversity space over the last few years.",little investment in formal training but great on the job learning ground if you are relatively early in your career in the main people are nice and the hr department in london is quite sociable diverse organisation from a cultural perspective and huge progress made in the diversity space over the last few years ,"great, people"
